cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
833862fffffffff,4.0,0.0,0.0
833875fffffffff,5.0,0.0,0.0
83391afffffffff,6.0,0.0,0.0
835215fffffffff,2.0,0.0,0.0
8352d4fffffffff,2.0,0.0,0.0
8354e1fffffffff,3.0,0.0,0.0
8354eafffffffff,4.0,0.0,0.0
8354eefffffffff,4.0,0.0,0.0
837a41fffffffff,4.0,0.0,0.0
837a44fffffffff,1.0,0.0,0.0
837a45fffffffff,3.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0
837a64fffffffff,4.0,0.0,0.0
837a68fffffffff,1.0,0.0,0.0
837a6afffffffff,4.0,0.0,4.0
837a6efffffffff,2.0,0.0,0.0
839711fffffffff,1.0,0.0,1.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd2fffffffff,2.0,0.0,2.0
83bcd6fffffffff,1.0,0.0,1.0
