cell_id,Cypsiurus gracilis,Cypsiurus gracilis griveaudi,Cypsiurus gracilis gracilis
84a2143ffffffff,1.0,0.0,0.0
84a3195ffffffff,1.0,0.0,1.0
84a319dffffffff,1.0,0.0,1.0
84a38b3ffffffff,2.0,0.0,2.0
