cell_id,Icterus pyrrhopterus,Icterus pyrrhopterus tibialis,Icterus pyrrhopterus [pyrrhopterus Group]
828007fffffffff,11.0,1.0,0.0
828017fffffffff,335.0,95.0,0.0
828027fffffffff,8.0,0.0,0.0
828037fffffffff,87.0,14.0,0.0
8280a7fffffffff,1.0,0.0,0.0
828107fffffffff,70.0,8.0,0.0
82810ffffffffff,6.0,0.0,0.0
828117fffffffff,11.0,0.0,0.0
82811ffffffffff,20.0,1.0,0.0
828127fffffffff,127.0,0.0,0.0
82812ffffffffff,37.0,0.0,2.0
828137fffffffff,60.0,7.0,0.0
828187fffffffff,225.0,32.0,0.0
82818ffffffffff,67.0,9.0,0.0
82819ffffffffff,5.0,0.0,0.0
8281a7fffffffff,18.0,2.0,0.0
8281affffffffff,63.0,6.0,0.0
828b07fffffffff,17.0,0.0,3.0
828b0ffffffffff,107.0,0.0,6.0
828b17fffffffff,9.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,300.0,0.0,17.0
828b2ffffffffff,74.0,0.0,6.0
828b37fffffffff,42.0,0.0,0.0
828b77fffffffff,13.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b9ffffffffff,10.0,0.0,0.0
828ba7fffffffff,89.0,0.0,0.0
828bb7fffffffff,119.0,0.0,14.0
82a597fffffffff,4.0,0.0,0.0
82a807fffffffff,86.0,0.0,6.0
82a80ffffffffff,67.0,0.0,0.0
82a817fffffffff,1427.0,0.0,71.0
82a81ffffffffff,2156.0,0.0,6.0
82a827fffffffff,4.0,0.0,0.0
82a82ffffffffff,125.0,0.0,0.0
82a837fffffffff,51.0,0.0,1.0
82a847fffffffff,569.0,0.0,53.0
82a84ffffffffff,17.0,0.0,0.0
82a857fffffffff,38.0,0.0,0.0
82a85ffffffffff,1255.0,0.0,112.0
82a867fffffffff,149.0,0.0,0.0
82a86ffffffffff,59.0,0.0,0.0
82a877fffffffff,104.0,0.0,1.0
82a887fffffffff,4.0,2.0,0.0
82a88ffffffffff,64.0,0.0,0.0
82a897fffffffff,20.0,4.0,0.0
82a89ffffffffff,4.0,0.0,0.0
82a8a7fffffffff,2.0,0.0,0.0
82a8affffffffff,177.0,0.0,0.0
82a8c7fffffffff,251.0,0.0,1.0
82a8cffffffffff,5.0,0.0,2.0
82a8d7fffffffff,117.0,0.0,0.0
82a8dffffffffff,40.0,0.0,3.0
82a8e7fffffffff,44.0,0.0,0.0
82a8effffffffff,7.0,0.0,0.0
82a8f7fffffffff,52.0,0.0,1.0
82a907fffffffff,91.0,0.0,9.0
82a90ffffffffff,147.0,0.0,8.0
82a91ffffffffff,143.0,0.0,0.0
82a927fffffffff,3.0,0.0,0.0
82a92ffffffffff,399.0,0.0,2.0
82a947fffffffff,2137.0,0.0,0.0
82a94ffffffffff,1303.0,0.0,0.0
82a957fffffffff,1888.0,0.0,11.0
82a95ffffffffff,367.0,0.0,0.0
82a967fffffffff,990.0,0.0,9.0
82a96ffffffffff,975.0,0.0,0.0
82a977fffffffff,290.0,0.0,0.0
82b20ffffffffff,7.0,0.0,0.0
82b247fffffffff,376.0,0.0,0.0
82b24ffffffffff,239.0,0.0,0.0
82b257fffffffff,34.0,0.0,0.0
82b25ffffffffff,462.0,0.0,0.0
82b267fffffffff,210.0,0.0,0.0
82b26ffffffffff,218.0,0.0,0.0
82b277fffffffff,182.0,0.0,0.0
82b2effffffffff,5.0,0.0,0.0
82b327fffffffff,5.0,0.0,0.0
82b347fffffffff,360.0,0.0,0.0
82b34ffffffffff,245.0,0.0,0.0
82b357fffffffff,123.0,0.0,0.0
82b35ffffffffff,1133.0,0.0,0.0
82b367fffffffff,115.0,0.0,12.0
82b36ffffffffff,322.0,0.0,0.0
82c21ffffffffff,17.0,0.0,0.0
82c22ffffffffff,4.0,0.0,0.0
82c2c7fffffffff,898.0,0.0,1.0
82c2cffffffffff,1073.0,0.0,0.0
82c2d7fffffffff,235.0,0.0,0.0
82c2dffffffffff,91.0,0.0,2.0
82c2e7fffffffff,4036.0,0.0,32.0
82c2effffffffff,192.0,0.0,0.0
82c2f7fffffffff,604.0,0.0,4.0
82c34ffffffffff,2.0,0.0,0.0
