cell_id,Scytalopus latrans,Scytalopus latrans latrans,Scytalopus latrans subcinereus
836608fffffffff,94.0,1.0,0.0
836609fffffffff,3.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0
83660bfffffffff,185.0,0.0,0.0
83660cfffffffff,63.0,1.0,0.0
83660dfffffffff,31.0,0.0,0.0
836618fffffffff,520.0,4.0,0.0
836619fffffffff,702.0,0.0,0.0
83661bfffffffff,962.0,16.0,0.0
83661dfffffffff,156.0,1.0,0.0
836629fffffffff,5.0,0.0,0.0
83662bfffffffff,4.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
8366c0fffffffff,76.0,0.0,0.0
8366c2fffffffff,109.0,0.0,0.0
8366c4fffffffff,82.0,0.0,0.0
8366c6fffffffff,285.0,0.0,0.0
8366d0fffffffff,5.0,0.0,0.0
8366d1fffffffff,69.0,0.0,0.0
8366d3fffffffff,1870.0,258.0,0.0
8366d5fffffffff,85.0,0.0,0.0
8366defffffffff,1802.0,189.0,0.0
8366e0fffffffff,1087.0,45.0,0.0
8366e2fffffffff,4.0,0.0,0.0
8366e4fffffffff,169.0,2.0,0.0
8366e5fffffffff,175.0,0.0,0.0
8366e6fffffffff,3512.0,76.0,0.0
8366f1fffffffff,327.0,3.0,0.0
8366f3fffffffff,8.0,0.0,0.0
8366f5fffffffff,362.0,1.0,0.0
83675afffffffff,2.0,0.0,0.0
838f0dfffffffff,57.0,4.0,7.0
838f29fffffffff,32.0,0.0,0.0
838f2bfffffffff,30.0,0.0,0.0
838f2dfffffffff,44.0,0.0,0.0
838f50fffffffff,20.0,0.0,10.0
838f54fffffffff,141.0,0.0,0.0
838f55fffffffff,1.0,0.0,0.0
838f70fffffffff,4.0,0.0,0.0
838f72fffffffff,433.0,44.0,26.0
838f74fffffffff,4.0,0.0,0.0
838f76fffffffff,384.0,10.0,5.0
