cell_id,Paroaria gularis,Paroaria gularis gularis,Paroaria gularis cervicalis
825f0ffffffffff,253.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0
825f2ffffffffff,717.0,2.0,0.0
825f77fffffffff,11.0,0.0,0.0
826647fffffffff,246.0,0.0,0.0
82665ffffffffff,11.0,0.0,0.0
826677fffffffff,9.0,0.0,0.0
8266c7fffffffff,1026.0,0.0,0.0
8266cffffffffff,149.0,0.0,0.0
8266dffffffffff,1651.0,163.0,0.0
8266e7fffffffff,12.0,0.0,0.0
8266effffffffff,315.0,0.0,0.0
828047fffffffff,8.0,0.0,0.0
82804ffffffffff,1.0,0.0,0.0
828067fffffffff,13.0,4.0,0.0
82806ffffffffff,22.0,2.0,0.0
828147fffffffff,12.0,2.0,0.0
82814ffffffffff,136.0,33.0,0.0
82815ffffffffff,35.0,0.0,0.0
828167fffffffff,2.0,2.0,0.0
828a07fffffffff,43.0,7.0,0.0
828a17fffffffff,44.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,10.0,3.0,1.0
828a37fffffffff,28.0,7.0,0.0
828a47fffffffff,644.0,7.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a57fffffffff,23.0,0.0,0.0
828a6ffffffffff,1104.0,0.0,0.0
828a77fffffffff,48.0,0.0,0.0
828a87fffffffff,46.0,1.0,0.0
828a8ffffffffff,49.0,4.0,0.0
828a97fffffffff,4.0,0.0,0.0
828a9ffffffffff,38.0,2.0,0.0
828aaffffffffff,153.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828ac7fffffffff,3.0,0.0,0.0
828adffffffffff,109.0,25.0,0.0
828ae7fffffffff,8.0,0.0,0.0
828aeffffffffff,3.0,0.0,0.0
828af7fffffffff,489.0,60.0,0.0
828b07fffffffff,24.0,0.0,0.0
828b0ffffffffff,272.0,0.0,19.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,24.0,0.0,12.0
828b27fffffffff,174.0,0.0,3.0
828b2ffffffffff,171.0,0.0,9.0
828b37fffffffff,70.0,0.0,0.0
828b47fffffffff,934.0,0.0,0.0
828b4ffffffffff,20.0,0.0,0.0
828b57fffffffff,53.0,0.0,1.0
828b5ffffffffff,19.0,0.0,0.0
828b67fffffffff,1421.0,4.0,0.0
828b6ffffffffff,243.0,0.0,0.0
828b77fffffffff,129.0,0.0,1.0
828b87fffffffff,2.0,2.0,0.0
828b8ffffffffff,15.0,4.0,0.0
828b9ffffffffff,554.0,38.0,0.0
828e67fffffffff,69.0,0.0,0.0
828f47fffffffff,396.0,0.0,0.0
828f4ffffffffff,78.0,0.0,0.0
828f5ffffffffff,29.0,0.0,0.0
828f67fffffffff,404.0,0.0,0.0
828f6ffffffffff,274.0,12.0,0.0
828f77fffffffff,15.0,0.0,0.0
82a847fffffffff,8.0,0.0,0.0
82a85ffffffffff,21.0,0.0,0.0
82b367fffffffff,10.0,0.0,0.0
