cell_id,Rallus longirostris,Rallus longirostris berryorum,Rallus longirostris cypereti,Rallus longirostris [longirostris Group]
835f0bfffffffff,5.0,0.0,0.0,0.0
835f4bfffffffff,4.0,0.0,0.0,0.0
835f58fffffffff,1.0,0.0,0.0,0.0
836620fffffffff,7.0,0.0,0.0,0.0
8366d0fffffffff,2.0,0.0,0.0,0.0
8366d2fffffffff,10.0,0.0,2.0,0.0
836752fffffffff,8.0,0.0,0.0,0.0
836755fffffffff,7.0,0.0,0.0,0.0
836d60fffffffff,9.0,0.0,0.0,0.0
836d63fffffffff,1.0,0.0,0.0,0.0
836d66fffffffff,106.0,4.0,0.0,0.0
836d68fffffffff,9.0,0.0,0.0,0.0
836d69fffffffff,16.0,1.0,0.0,0.0
836d75fffffffff,17.0,3.0,0.0,0.0
838180fffffffff,1.0,0.0,0.0,0.0
838183fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,1.0,0.0
838f2afffffffff,3.0,0.0,0.0,0.0
838f2bfffffffff,6.0,0.0,3.0,0.0
83a814fffffffff,1.0,0.0,0.0,0.0
83a8a0fffffffff,7.0,0.0,0.0,0.0
