cell_id,Dendrocincla turdina,Dendrocincla turdina taunayi,Dendrocincla turdina turdina
838102fffffffff,3.0,0.0,3.0
838116fffffffff,4.0,0.0,4.0
838130fffffffff,12.0,0.0,7.0
838132fffffffff,39.0,0.0,9.0
838133fffffffff,117.0,0.0,28.0
838134fffffffff,18.0,0.0,5.0
838136fffffffff,163.0,0.0,29.0
838180fffffffff,10.0,7.0,0.0
838181fffffffff,149.0,135.0,0.0
838185fffffffff,87.0,83.0,0.0
83a596fffffffff,55.0,0.0,26.0
83a801fffffffff,4.0,0.0,2.0
83a806fffffffff,288.0,0.0,85.0
83a810fffffffff,349.0,0.0,136.0
83a812fffffffff,410.0,0.0,92.0
83a814fffffffff,134.0,0.0,50.0
83a815fffffffff,413.0,0.0,168.0
83a816fffffffff,34.0,0.0,10.0
83a81dfffffffff,15.0,0.0,11.0
83a826fffffffff,5.0,0.0,0.0
83a82dfffffffff,4.0,0.0,2.0
83a831fffffffff,152.0,0.0,55.0
83a833fffffffff,112.0,0.0,28.0
83a835fffffffff,213.0,0.0,50.0
83a880fffffffff,9.0,0.0,5.0
83a881fffffffff,5.0,0.0,0.0
83a882fffffffff,19.0,0.0,7.0
83a883fffffffff,2.0,0.0,1.0
83a884fffffffff,49.0,0.0,26.0
83a885fffffffff,1.0,0.0,1.0
83a886fffffffff,5.0,0.0,5.0
83a891fffffffff,200.0,0.0,94.0
83a895fffffffff,13.0,0.0,7.0
83a8a0fffffffff,282.0,0.0,52.0
83a8a1fffffffff,345.0,0.0,161.0
83a8a2fffffffff,332.0,0.0,104.0
83a8a3fffffffff,122.0,0.0,40.0
83a8a5fffffffff,94.0,0.0,37.0
83a8b1fffffffff,9.0,0.0,7.0
83a8f4fffffffff,3.0,0.0,0.0
83a918fffffffff,9.0,0.0,3.0
83a91bfffffffff,109.0,0.0,12.0
83a91dfffffffff,2.0,0.0,0.0
83a942fffffffff,77.0,0.0,0.0
83a943fffffffff,44.0,0.0,0.0
83a946fffffffff,37.0,0.0,0.0
83a950fffffffff,19.0,0.0,0.0
83a951fffffffff,12.0,0.0,0.0
83a953fffffffff,677.0,0.0,25.0
83a955fffffffff,42.0,0.0,0.0
83a958fffffffff,2.0,0.0,0.0
83a95afffffffff,10.0,0.0,0.0
83a95cfffffffff,20.0,0.0,0.0
83a95efffffffff,12.0,0.0,2.0
83a973fffffffff,1.0,0.0,0.0
