cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
831485fffffffff,1.0,1.0,0.0
831492fffffffff,2.0,2.0,0.0
831496fffffffff,2.0,2.0,0.0
831499fffffffff,2.0,2.0,0.0
83149afffffffff,7.0,7.0,0.0
83149efffffffff,15.0,15.0,0.0
8314aefffffffff,12.0,12.0,0.0
8314b2fffffffff,2.0,2.0,0.0
8314d6fffffffff,4.0,4.0,0.0
83244bfffffffff,5.0,5.0,0.0
83248bfffffffff,2.0,2.0,0.0
83248efffffffff,3.0,3.0,0.0
8324e9fffffffff,3.0,3.0,0.0
832e0dfffffffff,7.0,7.0,0.0
832e46fffffffff,4.0,4.0,0.0
832e60fffffffff,5.0,5.0,0.0
832e61fffffffff,100.0,100.0,0.0
832e63fffffffff,12.0,12.0,0.0
832e68fffffffff,56.0,56.0,0.0
832e69fffffffff,26.0,26.0,0.0
832e6bfffffffff,14.0,14.0,0.0
832e6dfffffffff,13.0,13.0,0.0
832e6efffffffff,5.0,5.0,0.0
832ec1fffffffff,1.0,1.0,0.0
832ec2fffffffff,2.0,2.0,0.0
832ec3fffffffff,1.0,1.0,0.0
832ec8fffffffff,2.0,2.0,0.0
832ec9fffffffff,3.0,3.0,0.0
832ecafffffffff,2.0,2.0,0.0
832ecbfffffffff,23.0,23.0,0.0
832ed9fffffffff,2.0,2.0,0.0
832edafffffffff,2.0,2.0,0.0
832edbfffffffff,2.0,2.0,0.0
832f58fffffffff,4.0,4.0,0.0
832f5afffffffff,4.0,4.0,0.0
832f5bfffffffff,20.0,20.0,0.0
832f6efffffffff,1.0,1.0,0.0
833000fffffffff,4.0,4.0,0.0
833006fffffffff,32.0,32.0,0.0
833010fffffffff,4.0,4.0,0.0
833011fffffffff,4.0,4.0,0.0
833012fffffffff,2.0,2.0,0.0
833019fffffffff,50.0,50.0,0.0
833025fffffffff,14.0,14.0,0.0
83302bfffffffff,8.0,8.0,0.0
833030fffffffff,56.0,56.0,0.0
833032fffffffff,44.0,44.0,0.0
833036fffffffff,3.0,3.0,0.0
833080fffffffff,4.0,4.0,0.0
833083fffffffff,28.0,28.0,0.0
83308efffffffff,18.0,18.0,0.0
833091fffffffff,21.0,20.0,0.0
833092fffffffff,3.0,3.0,0.0
833093fffffffff,1.0,1.0,0.0
833096fffffffff,2.0,2.0,0.0
833098fffffffff,44.0,44.0,0.0
833099fffffffff,16.0,16.0,0.0
83309afffffffff,142.0,142.0,0.0
83309bfffffffff,115.0,115.0,0.0
83309dfffffffff,41.0,41.0,0.0
83309efffffffff,9.0,9.0,0.0
8330acfffffffff,5.0,5.0,0.0
8330b0fffffffff,2.0,2.0,0.0
8330b5fffffffff,3.0,3.0,0.0
8330c1fffffffff,6.0,6.0,0.0
8330c2fffffffff,13.0,13.0,0.0
8330c4fffffffff,3.0,3.0,0.0
8330c5fffffffff,4.0,4.0,0.0
8330c6fffffffff,17.0,17.0,0.0
8330cbfffffffff,1.0,1.0,0.0
8330cefffffffff,2.0,2.0,0.0
8330d0fffffffff,2.0,2.0,0.0
8330d1fffffffff,6.0,6.0,0.0
8330d9fffffffff,4.0,4.0,0.0
8330e0fffffffff,19.0,19.0,0.0
8330e1fffffffff,7.0,7.0,0.0
8330e2fffffffff,46.0,46.0,0.0
