cell_id,Spermestes bicolor,Spermestes bicolor bicolor/poensis,Spermestes bicolor nigriceps/woltersi
8454e25ffffffff,3.0,0.0,0.0
8454e8bffffffff,2.0,0.0,0.0
8454e9bffffffff,1.0,0.0,0.0
8454f1bffffffff,5.0,0.0,0.0
8458839ffffffff,2.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0
845890bffffffff,4.0,0.0,0.0
845890dffffffff,9.0,0.0,0.0
8458945ffffffff,2.0,0.0,0.0
8458949ffffffff,2.0,0.0,0.0
845894dffffffff,10.0,0.0,0.0
8458951ffffffff,2.0,0.0,0.0
845895bffffffff,1.0,0.0,0.0
8458969ffffffff,4.0,1.0,0.0
84589c9ffffffff,4.0,0.0,0.0
84589cbffffffff,2.0,0.0,0.0
8458d13ffffffff,3.0,0.0,0.0
8458d33ffffffff,16.0,15.0,0.0
8458d35ffffffff,12.0,3.0,0.0
8458d37ffffffff,2.0,2.0,0.0
8458db5ffffffff,7.0,0.0,0.0
8458de5ffffffff,6.0,6.0,0.0
8458dedffffffff,3.0,0.0,0.0
8458f47ffffffff,2.0,0.0,0.0
846a9e5ffffffff,3.0,3.0,0.0
846ac03ffffffff,63.0,13.0,0.0
846ac09ffffffff,1.0,0.0,0.0
846ac0bffffffff,18.0,2.0,0.0
846ac15ffffffff,288.0,52.0,0.0
846ac19ffffffff,6.0,0.0,0.0
846ac1dffffffff,4.0,2.0,0.0
846ac31ffffffff,5.0,2.0,0.0
846ac35ffffffff,3.0,0.0,0.0
846ac39ffffffff,1.0,0.0,0.0
846ac3dffffffff,45.0,8.0,0.0
846ac89ffffffff,133.0,24.0,0.0
846ac93ffffffff,1.0,0.0,0.0
846acadffffffff,1.0,1.0,0.0
846acc3ffffffff,8.0,1.0,0.0
846acc7ffffffff,25.0,0.0,0.0
846accbffffffff,18.0,5.0,0.0
846acd1ffffffff,2.0,0.0,0.0
846acd5ffffffff,26.0,5.0,0.0
846ace5ffffffff,11.0,0.0,0.0
846ad81ffffffff,36.0,2.0,0.0
846ad89ffffffff,6.0,1.0,0.0
846ad8bffffffff,3.0,0.0,0.0
846adc1ffffffff,270.0,28.0,0.0
846adc3ffffffff,4.0,0.0,0.0
846adc5ffffffff,44.0,3.0,0.0
846adc7ffffffff,24.0,0.0,0.0
846adc9ffffffff,20.0,2.0,0.0
846adcbffffffff,2.0,0.0,0.0
846add7ffffffff,2.0,0.0,0.0
846ade7ffffffff,3.0,0.0,0.0
846adebffffffff,6.0,0.0,0.0
846ae85ffffffff,18.0,0.0,0.0
846aea1ffffffff,82.0,2.0,0.0
846aea3ffffffff,17.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0
846aea9ffffffff,2.0,0.0,0.0
846aeabffffffff,6.0,0.0,0.0
846aeb5ffffffff,7.0,0.0,0.0
846aee3ffffffff,4.0,0.0,0.0
846aee7ffffffff,1.0,0.0,0.0
846aee9ffffffff,1.0,0.0,0.0
846af51ffffffff,2.0,0.0,0.0
8475083ffffffff,1.0,0.0,0.0
8475085ffffffff,15.0,0.0,0.0
8475087ffffffff,17.0,5.0,0.0
8475095ffffffff,2.0,0.0,0.0
847509dffffffff,1.0,0.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,323.0,86.0,0.0
84750d7ffffffff,5.0,1.0,0.0
84750d9ffffffff,9.0,6.0,0.0
84750dbffffffff,5.0,3.0,0.0
84750ddffffffff,11.0,5.0,0.0
8475191ffffffff,3.0,0.0,0.0
8475195ffffffff,2.0,0.0,0.0
8475207ffffffff,2.0,2.0,0.0
8475295ffffffff,168.0,45.0,0.0
8475299ffffffff,3.0,0.0,0.0
847529bffffffff,5.0,0.0,0.0
84752a3ffffffff,2.0,0.0,0.0
