cell_id,Caryothraustes poliogaster,Caryothraustes poliogaster poliogaster,Caryothraustes poliogaster scapularis
824507fffffffff,2.0,0.0,0.0
82450ffffffffff,1.0,0.0,0.0
824527fffffffff,1096.0,0.0,0.0
82452ffffffffff,4767.0,0.0,0.0
824537fffffffff,374.0,0.0,0.0
8266a7fffffffff,599.0,0.0,0.0
8266b7fffffffff,975.0,0.0,0.0
826797fffffffff,290.0,0.0,0.0
82679ffffffffff,682.0,0.0,0.0
826d27fffffffff,494.0,0.0,0.0
826d2ffffffffff,501.0,0.0,0.0
826d37fffffffff,510.0,0.0,0.0
826d67fffffffff,10.0,0.0,0.0
826d6ffffffffff,6229.0,0.0,0.0
