cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
833c0afffffffff,6.0,1.0,0.0,0.0
833c15fffffffff,8.0,8.0,0.0,0.0
833c19fffffffff,12.0,0.0,2.0,0.0
833c1dfffffffff,2.0,0.0,0.0,0.0
833c33fffffffff,8.0,8.0,0.0,0.0
833c5bfffffffff,15.0,0.0,0.0,0.0
833c5efffffffff,2.0,0.0,0.0,0.0
833c8efffffffff,4.0,0.0,0.0,0.0
833c90fffffffff,12.0,0.0,0.0,0.0
833c92fffffffff,101.0,0.0,0.0,0.0
833c94fffffffff,19.0,0.0,0.0,0.0
833c96fffffffff,4.0,0.0,0.0,0.0
833ca8fffffffff,7.0,0.0,0.0,0.0
833cabfffffffff,13.0,0.0,0.0,0.0
833cb4fffffffff,2.0,0.0,0.0,0.0
833cc1fffffffff,2.0,0.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0,0.0
833ce4fffffffff,4.0,0.0,2.0,0.0
833ce5fffffffff,3.0,1.0,0.0,0.0
833ce8fffffffff,1.0,0.0,0.0,0.0
833ceafffffffff,5.0,0.0,0.0,0.0
833cecfffffffff,2.0,0.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0,0.0
833d14fffffffff,17.0,0.0,0.0,0.0
833d30fffffffff,1.0,0.0,0.0,0.0
833d32fffffffff,3.0,0.0,0.0,0.0
833d33fffffffff,3.0,0.0,0.0,0.0
833d9afffffffff,2.0,0.0,0.0,0.0
833d9bfffffffff,12.0,0.0,0.0,0.0
833dadfffffffff,7.0,7.0,0.0,0.0
83411cfffffffff,1.0,0.0,0.0,0.0
83416bfffffffff,4.0,0.0,0.0,0.0
83619afffffffff,7.0,0.0,0.0,0.0
836428fffffffff,77.0,0.0,0.0,0.0
836429fffffffff,34.0,0.0,0.0,0.0
83642dfffffffff,9.0,0.0,0.0,0.0
8364a3fffffffff,3.0,0.0,0.0,0.0
836502fffffffff,5.0,0.0,0.0,0.0
836503fffffffff,5.0,0.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0,0.0
836518fffffffff,7.0,0.0,0.0,0.0
836519fffffffff,6.0,0.0,0.0,0.0
83651dfffffffff,63.0,0.0,0.0,0.0
836520fffffffff,54.0,0.0,0.0,0.0
836522fffffffff,1.0,0.0,0.0,0.0
836526fffffffff,53.0,0.0,0.0,0.0
83658bfffffffff,2.0,0.0,0.0,0.0
836818fffffffff,2.0,0.0,0.0,0.0
83681cfffffffff,4.0,0.0,4.0,0.0
8368ddfffffffff,1.0,0.0,0.0,1.0
