cell_id,Arremon aurantiirostris,Arremon aurantiirostris [aurantiirostris Group],Arremon aurantiirostris erythrorhynchus,Arremon aurantiirostris spectabilis
834520fffffffff,79.0,0.0,0.0,0.0
834521fffffffff,493.0,0.0,0.0,0.0
834522fffffffff,420.0,0.0,0.0,0.0
834523fffffffff,728.0,0.0,0.0,0.0
834525fffffffff,43.0,0.0,0.0,0.0
834526fffffffff,4.0,0.0,0.0,0.0
83452cfffffffff,2.0,0.0,0.0,0.0
83452dfffffffff,63.0,9.0,0.0,0.0
83452efffffffff,942.0,0.0,0.0,0.0
834530fffffffff,8.0,0.0,0.0,0.0
834531fffffffff,1.0,0.0,0.0,0.0
834532fffffffff,50.0,0.0,0.0,0.0
834534fffffffff,32.0,0.0,0.0,0.0
834535fffffffff,4.0,0.0,0.0,0.0
834536fffffffff,84.0,0.0,0.0,0.0
836601fffffffff,8.0,0.0,0.0,0.0
836608fffffffff,277.0,0.0,0.0,0.0
83660afffffffff,248.0,0.0,0.0,0.0
83660cfffffffff,12.0,0.0,0.0,0.0
836610fffffffff,57.0,0.0,0.0,0.0
836611fffffffff,5.0,0.0,0.0,0.0
836612fffffffff,13.0,0.0,0.0,0.0
836613fffffffff,117.0,0.0,0.0,0.0
836616fffffffff,360.0,0.0,0.0,0.0
836619fffffffff,1046.0,0.0,33.0,0.0
83661afffffffff,150.0,0.0,0.0,0.0
83661bfffffffff,79.0,0.0,0.0,0.0
83661cfffffffff,14.0,0.0,0.0,0.0
83661dfffffffff,55.0,0.0,0.0,0.0
83661efffffffff,214.0,0.0,0.0,0.0
8366a0fffffffff,1097.0,0.0,0.0,0.0
8366a1fffffffff,13.0,0.0,0.0,0.0
8366a2fffffffff,20.0,0.0,0.0,0.0
8366a3fffffffff,73.0,0.0,0.0,0.0
8366a5fffffffff,1249.0,0.0,0.0,0.0
8366a6fffffffff,7.0,0.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0,0.0
8366b0fffffffff,1607.0,0.0,0.0,0.0
8366b1fffffffff,24.0,0.0,0.0,0.0
8366b4fffffffff,4587.0,0.0,0.0,0.0
8366b5fffffffff,2899.0,0.0,0.0,0.0
8366b6fffffffff,209.0,0.0,0.0,0.0
8366c2fffffffff,142.0,0.0,0.0,0.0
8366c4fffffffff,10.0,0.0,0.0,0.0
8366c6fffffffff,2.0,0.0,0.0,0.0
8366d0fffffffff,284.0,0.0,0.0,0.0
8366d1fffffffff,79.0,0.0,0.0,0.0
8366d2fffffffff,49.0,0.0,0.0,0.0
8366d3fffffffff,3175.0,227.0,0.0,0.0
8366d5fffffffff,19.0,0.0,0.0,0.0
8366d8fffffffff,1.0,0.0,0.0,0.0
8366dafffffffff,86.0,0.0,0.0,2.0
8366dcfffffffff,3.0,0.0,0.0,0.0
8366defffffffff,410.0,0.0,0.0,44.0
8366e0fffffffff,141.0,0.0,0.0,0.0
8366e2fffffffff,24.0,0.0,0.0,0.0
8366e4fffffffff,187.0,0.0,0.0,0.0
8366e6fffffffff,625.0,0.0,0.0,0.0
8366f0fffffffff,893.0,0.0,0.0,0.0
8366f1fffffffff,7.0,0.0,0.0,0.0
8366f3fffffffff,9.0,0.0,0.0,0.0
836790fffffffff,2.0,0.0,0.0,0.0
836791fffffffff,2.0,0.0,0.0,0.0
836794fffffffff,11.0,0.0,0.0,0.0
836796fffffffff,107.0,0.0,0.0,0.0
83679afffffffff,3145.0,0.0,0.0,0.0
83679bfffffffff,208.0,0.0,0.0,0.0
836d21fffffffff,155.0,20.0,0.0,0.0
836d22fffffffff,5.0,0.0,0.0,0.0
836d23fffffffff,65.0,21.0,0.0,0.0
836d2cfffffffff,195.0,56.0,0.0,0.0
836d2dfffffffff,227.0,0.0,0.0,0.0
836d30fffffffff,63.0,10.0,0.0,0.0
836d31fffffffff,80.0,11.0,0.0,0.0
836d65fffffffff,63.0,0.0,0.0,0.0
836d68fffffffff,969.0,0.0,0.0,0.0
836d69fffffffff,12496.0,0.0,0.0,0.0
836d6cfffffffff,1.0,0.0,0.0,0.0
836d6dfffffffff,199.0,0.0,0.0,0.0
838f08fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,323.0,0.0,0.0,0.0
838f28fffffffff,28.0,0.0,0.0,0.0
838f29fffffffff,142.0,0.0,0.0,0.0
838f2afffffffff,174.0,0.0,0.0,0.0
838f2bfffffffff,122.0,0.0,0.0,0.0
838f2cfffffffff,191.0,0.0,0.0,0.0
838f2dfffffffff,3.0,0.0,0.0,0.0
838f2efffffffff,11.0,0.0,0.0,0.0
838f40fffffffff,30.0,0.0,0.0,0.0
838f42fffffffff,5.0,0.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0,0.0
838f46fffffffff,329.0,0.0,0.0,7.0
838f4afffffffff,12.0,0.0,0.0,0.0
838f70fffffffff,15.0,0.0,0.0,1.0
838f72fffffffff,664.0,0.0,0.0,51.0
838f74fffffffff,12.0,0.0,0.0,0.0
838f76fffffffff,34.0,0.0,0.0,0.0
