cell_id,Psophodes nigrogularis,Psophodes nigrogularis nigrogularis/oberon,Psophodes nigrogularis leucogaster/lashmari
82b917fffffffff,2.0,0.0,1.0
82c987fffffffff,4.0,2.0,0.0
82c9b7fffffffff,4.0,2.0,0.0
