cell_id,Myrmotherula iheringi,Myrmotherula iheringi heteroptera,Myrmotherula iheringi iheringi,Myrmotherula iheringi oreni
848a109ffffffff,7.0,0.0,0.0,0.0
848a155ffffffff,2.0,0.0,0.0,0.0
848a1a7ffffffff,3.0,0.0,0.0,0.0
848a337ffffffff,9.0,0.0,0.0,0.0
848a33bffffffff,4.0,0.0,0.0,0.0
848a459ffffffff,1.0,0.0,0.0,0.0
848a6e5ffffffff,3.0,0.0,0.0,0.0
848a809ffffffff,31.0,0.0,0.0,0.0
848a81bffffffff,12.0,0.0,0.0,0.0
848a835ffffffff,1.0,0.0,0.0,0.0
848a837ffffffff,2.0,0.0,0.0,0.0
848a857ffffffff,1.0,0.0,0.0,0.0
848aa51ffffffff,1.0,0.0,0.0,0.0
848aa87ffffffff,4.0,0.0,0.0,0.0
848aaa3ffffffff,6.0,0.0,0.0,0.0
848aac9ffffffff,2.0,0.0,0.0,0.0
848aaddffffffff,2.0,0.0,0.0,0.0
848b401ffffffff,6.0,0.0,0.0,3.0
848b40bffffffff,2.0,0.0,0.0,0.0
848b40dffffffff,7.0,0.0,0.0,1.0
848b445ffffffff,1.0,0.0,0.0,0.0
848b447ffffffff,2.0,0.0,0.0,0.0
848b449ffffffff,4.0,0.0,0.0,0.0
848b44bffffffff,25.0,0.0,0.0,3.0
848b44dffffffff,18.0,0.0,0.0,0.0
848b459ffffffff,7.0,0.0,0.0,0.0
848b4e5ffffffff,5.0,0.0,0.0,1.0
848b513ffffffff,2.0,0.0,0.0,0.0
848b5cdffffffff,29.0,0.0,0.0,10.0
848b617ffffffff,4.0,0.0,0.0,0.0
848b623ffffffff,2.0,0.0,0.0,0.0
848b627ffffffff,33.0,0.0,0.0,2.0
848b631ffffffff,1.0,0.0,0.0,1.0
848b633ffffffff,3.0,0.0,0.0,0.0
848b635ffffffff,1.0,0.0,0.0,0.0
848b637ffffffff,40.0,0.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0,0.0
848b63bffffffff,3.0,0.0,0.0,1.0
848b6e1ffffffff,3.0,0.0,0.0,0.0
848b6e5ffffffff,5.0,0.0,0.0,3.0
848b6e7ffffffff,9.0,0.0,0.0,0.0
848b6edffffffff,27.0,0.0,0.0,3.0
848b713ffffffff,10.0,0.0,0.0,0.0
848b71bffffffff,20.0,0.0,0.0,0.0
848b9d5ffffffff,3.0,0.0,0.0,0.0
848f4d9ffffffff,1.0,0.0,0.0,0.0
848f6b5ffffffff,3.0,0.0,0.0,0.0
