cell_id,Rhipidura melanolaema,Rhipidura melanolaema melanolaema/utupuae,Rhipidura melanolaema agilis
839e8cfffffffff,11.0,1.0,0.0
839ea8fffffffff,1.0,0.0,0.0
839eaefffffffff,2.0,0.0,0.0
