cell_id,Pachycephala griseonota,Pachycephala griseonota [griseonota Group],Pachycephala griseonota johni
8268dffffffffff,4.0,0.0,0.0
827297fffffffff,11.0,0.0,0.0
8272b7fffffffff,1.0,0.0,0.0
827397fffffffff,142.0,27.0,0.0
829547fffffffff,99.0,16.0,0.0
82954ffffffffff,1.0,1.0,0.0
829567fffffffff,18.0,5.0,2.0
82956ffffffffff,249.0,60.0,87.0
