cell_id,Paroaria baeri,Paroaria baeri baeri,Paroaria baeri xinguensis
848145dffffffff,21.0,12.0,0.0
8481609ffffffff,2.0,0.0,0.0
8481623ffffffff,1.0,0.0,0.0
8481627ffffffff,1.0,1.0,0.0
848162bffffffff,54.0,14.0,0.0
8481635ffffffff,83.0,34.0,0.0
8481637ffffffff,4.0,1.0,0.0
8481649ffffffff,3.0,2.0,0.0
8481663ffffffff,3.0,0.0,0.0
848166bffffffff,1.0,0.0,0.0
84a8591ffffffff,6.0,0.0,0.0
84a8c9bffffffff,7.0,0.0,0.0
84a8ca3ffffffff,9.0,0.0,0.0
84a8cb5ffffffff,1.0,0.0,0.0
84a8cc7ffffffff,1.0,0.0,0.0
84a8ce3ffffffff,1.0,1.0,0.0
84a8cebffffffff,4.0,4.0,0.0
