cell_id,Turdus chiguanco,Turdus chiguanco chiguanco/conradi,Turdus chiguanco anthracinus
8266d7fffffffff,4.0,0.0,0.0
828b27fffffffff,42.0,0.0,41.0
828b2ffffffffff,1.0,0.0,0.0
828b67fffffffff,27.0,17.0,0.0
828e67fffffffff,37.0,29.0,0.0
828f57fffffffff,9.0,0.0,0.0
82b20ffffffffff,7.0,0.0,0.0
82b247fffffffff,2.0,0.0,2.0
82b25ffffffffff,14.0,0.0,3.0
82b277fffffffff,11.0,0.0,0.0
82b2c7fffffffff,1.0,0.0,0.0
82b2cffffffffff,9.0,0.0,2.0
82b2e7fffffffff,13.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0
82b307fffffffff,121.0,106.0,8.0
82b30ffffffffff,11.0,0.0,9.0
82b327fffffffff,2.0,0.0,0.0
82b337fffffffff,2.0,0.0,0.0
82b347fffffffff,13.0,0.0,0.0
82b357fffffffff,2.0,2.0,0.0
82b35ffffffffff,4.0,0.0,4.0
82c21ffffffffff,2.0,0.0,0.0
82c327fffffffff,3.0,0.0,3.0
82c32ffffffffff,12.0,0.0,8.0
82c357fffffffff,2.0,0.0,0.0
82c367fffffffff,1.0,0.0,0.0
82ce87fffffffff,2.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0
82cf97fffffffff,2.0,0.0,0.0
