cell_id,Automolus ochrolaemus,Automolus ochrolaemus pallidigularis,Automolus ochrolaemus turdinus,Automolus ochrolaemus ochrolaemus,Automolus ochrolaemus auricularis
846613bffffffff,1.0,0.0,0.0,1.0,0.0
8466189ffffffff,2.0,0.0,0.0,0.0,0.0
84661b1ffffffff,1.0,0.0,0.0,0.0,0.0
84661b9ffffffff,5.0,0.0,0.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0,0.0,0.0
84661c3ffffffff,18.0,0.0,0.0,0.0,0.0
84661c9ffffffff,10.0,0.0,0.0,0.0,0.0
84661cdffffffff,54.0,0.0,0.0,0.0,0.0
8466d05ffffffff,2.0,0.0,0.0,0.0,0.0
8466d07ffffffff,1.0,1.0,0.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0,0.0,0.0
8466d27ffffffff,2.0,0.0,0.0,0.0,0.0
8466d31ffffffff,4.0,0.0,0.0,0.0,0.0
8466d35ffffffff,5.0,0.0,0.0,0.0,0.0
8466d37ffffffff,1.0,1.0,0.0,0.0,0.0
8466dadffffffff,9.0,0.0,1.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0,0.0,0.0
8466e1dffffffff,2.0,0.0,0.0,0.0,0.0
8466ec9ffffffff,6.0,0.0,0.0,0.0,0.0
8466ecbffffffff,21.0,0.0,0.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0,0.0,0.0
848a053ffffffff,1.0,0.0,0.0,0.0,1.0
848a059ffffffff,2.0,0.0,0.0,0.0,2.0
848b709ffffffff,1.0,1.0,0.0,0.0,0.0
848f72bffffffff,1.0,1.0,0.0,0.0,0.0
848f733ffffffff,1.0,0.0,0.0,1.0,0.0
