cell_id,Thinornis dubius,Thinornis dubius curonicus,Thinornis dubius dubius/jerdoni
820807fffffffff,1.0,0.0,0.0
820817fffffffff,4.0,0.0,0.0
820837fffffffff,1.0,0.0,0.0
820887fffffffff,99.0,0.0,0.0
82088ffffffffff,17.0,6.0,0.0
820897fffffffff,1.0,0.0,0.0
82089ffffffffff,428.0,55.0,0.0
8208a7fffffffff,4.0,0.0,0.0
8208affffffffff,1.0,0.0,0.0
8208b7fffffffff,27.0,0.0,0.0
8208c7fffffffff,16.0,0.0,0.0
8208d7fffffffff,39.0,0.0,0.0
8208dffffffffff,2.0,0.0,0.0
8208f7fffffffff,6.0,0.0,0.0
820987fffffffff,8.0,0.0,0.0
820997fffffffff,4.0,0.0,0.0
82099ffffffffff,24.0,4.0,0.0
820a37fffffffff,6.0,0.0,0.0
820b8ffffffffff,1.0,0.0,0.0
821017fffffffff,8.0,0.0,0.0
821027fffffffff,2.0,0.0,0.0
82109ffffffffff,3.0,0.0,0.0
8210c7fffffffff,21.0,0.0,0.0
8210d7fffffffff,3.0,0.0,0.0
8210dffffffffff,5.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0
821107fffffffff,112.0,0.0,0.0
821127fffffffff,24.0,1.0,0.0
82112ffffffffff,5.0,0.0,0.0
821137fffffffff,9.0,0.0,0.0
821157fffffffff,6.0,0.0,0.0
821187fffffffff,13.0,0.0,0.0
82118ffffffffff,34.0,6.0,0.0
8211affffffffff,92.0,17.0,0.0
8211b7fffffffff,4.0,0.0,0.0
821487fffffffff,2.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0
82149ffffffffff,3.0,0.0,0.0
8214affffffffff,27.0,0.0,0.0
8214cffffffffff,1.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0
82154ffffffffff,7.0,0.0,0.0
82155ffffffffff,3.0,0.0,0.0
821597fffffffff,73.0,0.0,0.0
82159ffffffffff,1.0,0.0,0.0
8215b7fffffffff,55.0,0.0,0.0
821847fffffffff,12.0,0.0,0.0
