cell_id,Bycanistes fistulator,Bycanistes fistulator fistulator,Bycanistes fistulator sharpii/duboisi
8354ccfffffffff,1.0,0.0,0.0
8354e2fffffffff,4.0,0.0,0.0
8354f0fffffffff,1.0,0.0,0.0
8354f1fffffffff,20.0,0.0,0.0
8354f4fffffffff,3.0,0.0,0.0
8354f5fffffffff,3.0,0.0,0.0
835883fffffffff,1.0,0.0,0.0
835886fffffffff,1.0,0.0,0.0
835890fffffffff,1.0,0.0,0.0
835894fffffffff,27.0,0.0,0.0
835895fffffffff,4.0,0.0,0.0
835896fffffffff,1.0,0.0,0.0
83589cfffffffff,10.0,0.0,0.0
8358d2fffffffff,11.0,0.0,0.0
8358d3fffffffff,8.0,0.0,0.0
8358dbfffffffff,3.0,0.0,0.0
8358defffffffff,3.0,0.0,0.0
836a96fffffffff,2.0,0.0,0.0
836a9afffffffff,2.0,0.0,0.0
836a9efffffffff,25.0,0.0,0.0
836ac0fffffffff,245.0,0.0,67.0
836ac1fffffffff,5.0,0.0,1.0
836ac3fffffffff,2.0,0.0,0.0
836ac6fffffffff,1.0,0.0,0.0
836aeafffffffff,18.0,0.0,1.0
837436fffffffff,1.0,0.0,0.0
837508fffffffff,182.0,21.0,0.0
837509fffffffff,4.0,0.0,0.0
83750afffffffff,3.0,0.0,0.0
83750dfffffffff,371.0,37.0,0.0
837518fffffffff,14.0,0.0,0.0
837519fffffffff,6.0,0.0,0.0
83751bfffffffff,2.0,0.0,0.0
837529fffffffff,25.0,0.0,0.0
83752afffffffff,5.0,0.0,0.0
83752dfffffffff,2.0,0.0,0.0
83752efffffffff,2.0,0.0,0.0
837531fffffffff,2.0,0.0,0.0
837532fffffffff,1.0,0.0,0.0
837576fffffffff,1.0,0.0,0.0
837584fffffffff,2.0,0.0,0.0
837586fffffffff,1.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375a8fffffffff,7.0,0.0,0.0
8375aefffffffff,1.0,0.0,0.0
8375b0fffffffff,6.0,1.0,0.0
838212fffffffff,18.0,0.0,1.0
838215fffffffff,1.0,0.0,0.0
838218fffffffff,18.0,0.0,3.0
83821afffffffff,1.0,0.0,0.0
83821bfffffffff,2.0,0.0,0.0
83821cfffffffff,1.0,0.0,0.0
838233fffffffff,1.0,0.0,0.0
838236fffffffff,1.0,0.0,0.0
838280fffffffff,1.0,0.0,0.0
838284fffffffff,4.0,0.0,0.0
838285fffffffff,5.0,0.0,2.0
838289fffffffff,1.0,0.0,0.0
83828bfffffffff,4.0,0.0,0.0
83828dfffffffff,166.0,0.0,0.0
838290fffffffff,6.0,0.0,0.0
838295fffffffff,1.0,0.0,0.0
83829dfffffffff,1.0,0.0,0.0
8382a0fffffffff,10.0,0.0,0.0
8382a3fffffffff,9.0,0.0,0.0
8382a5fffffffff,3.0,0.0,2.0
8382a8fffffffff,19.0,0.0,6.0
8382aafffffffff,16.0,0.0,6.0
8382abfffffffff,10.0,0.0,0.0
8382acfffffffff,2.0,0.0,0.0
8382aefffffffff,1.0,0.0,0.0
8382b3fffffffff,1.0,0.0,0.0
8382d2fffffffff,15.0,0.0,8.0
8382d3fffffffff,11.0,0.0,0.0
8382d4fffffffff,8.0,0.0,0.0
8382d6fffffffff,9.0,0.0,3.0
8382d8fffffffff,4.0,0.0,0.0
8382dbfffffffff,2.0,0.0,0.0
8382f0fffffffff,14.0,0.0,0.0
8382f2fffffffff,3.0,0.0,0.0
8382f4fffffffff,10.0,0.0,0.0
8382f6fffffffff,5.0,0.0,0.0
838313fffffffff,17.0,0.0,2.0
83838afffffffff,3.0,0.0,0.0
8383a8fffffffff,5.0,0.0,0.0
8383acfffffffff,17.0,0.0,6.0
8383adfffffffff,3.0,0.0,0.0
8396d8fffffffff,1.0,0.0,0.0
