cell_id,Thalassarche melanophris,Thalassarche melanophris melanophris,Thalassarche melanophris impavida
828e47fffffffff,2.0,0.0,0.0
828e4ffffffffff,6.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
82a727fffffffff,28.0,10.0,0.0
82a817fffffffff,55.0,0.0,0.0
82a837fffffffff,51.0,0.0,0.0
82a8a7fffffffff,54.0,0.0,0.0
82a907fffffffff,17.0,0.0,0.0
82a91ffffffffff,4.0,0.0,0.0
82a927fffffffff,24.0,0.0,0.0
82a92ffffffffff,1.0,0.0,0.0
82ac37fffffffff,1.0,1.0,0.0
82ad37fffffffff,251.0,101.0,0.0
82b207fffffffff,3.0,0.0,0.0
82b21ffffffffff,182.0,0.0,0.0
82b227fffffffff,25.0,0.0,0.0
82b237fffffffff,2.0,0.0,0.0
82b2c7fffffffff,1966.0,138.0,0.0
82b2d7fffffffff,4.0,0.0,0.0
82b2dffffffffff,376.0,10.0,0.0
82b2e7fffffffff,47.0,0.0,0.0
82b307fffffffff,45.0,0.0,0.0
82b317fffffffff,1.0,0.0,0.0
82b31ffffffffff,29.0,0.0,0.0
82b337fffffffff,5.0,0.0,0.0
82b867fffffffff,2.0,0.0,0.0
82b94ffffffffff,2.0,2.0,0.0
82ba07fffffffff,7.0,0.0,0.0
82ba1ffffffffff,18.0,0.0,8.0
82ba27fffffffff,11.0,9.0,2.0
82ba2ffffffffff,5.0,4.0,0.0
82ba67fffffffff,1.0,0.0,0.0
82ba77fffffffff,1.0,0.0,0.0
82bb0ffffffffff,27.0,16.0,7.0
82bb27fffffffff,2.0,0.0,2.0
82bb2ffffffffff,220.0,146.0,10.0
82bb57fffffffff,102.0,13.0,65.0
82bb5ffffffffff,10.0,2.0,7.0
82bb77fffffffff,6.0,6.0,0.0
82bc47fffffffff,2.0,0.0,0.0
82bc67fffffffff,1.0,1.0,0.0
82bc6ffffffffff,20.0,9.0,0.0
82bc77fffffffff,2.0,0.0,0.0
