cell_id,Troglodytes martinicensis,Troglodytes martinicensis guadeloupensis,Troglodytes martinicensis rufescens,Troglodytes martinicensis martinicensis
835e42fffffffff,1.0,0.0,1.0,0.0
835e43fffffffff,9.0,0.0,9.0,0.0
835e5dfffffffff,1.0,1.0,0.0,0.0
