cell_id,Poicephalus fuscicollis,Poicephalus fuscicollis fuscicollis,Poicephalus fuscicollis suahelicus
82541ffffffffff,15.0,1.0,0.0
8254affffffffff,6.0,0.0,0.0
8254f7fffffffff,67.0,20.0,0.0
825897fffffffff,15.0,5.0,0.0
82589ffffffffff,1.0,0.0,0.0
826ac7fffffffff,3.0,0.0,0.0
826acffffffffff,12.0,0.0,1.0
826adffffffffff,1.0,0.0,0.0
826aeffffffffff,3.0,0.0,0.0
827507fffffffff,4.0,0.0,0.0
82750ffffffffff,13.0,5.0,0.0
82751ffffffffff,1.0,0.0,0.0
827527fffffffff,2.0,0.0,0.0
82752ffffffffff,53.0,20.0,0.0
827b6ffffffffff,14.0,0.0,10.0
8283affffffffff,1.0,0.0,0.0
82960ffffffffff,2.0,0.0,2.0
829617fffffffff,3.0,0.0,0.0
829627fffffffff,77.0,0.0,36.0
82962ffffffffff,34.0,0.0,14.0
829637fffffffff,8.0,0.0,2.0
829657fffffffff,1.0,0.0,1.0
829667fffffffff,1.0,0.0,0.0
829677fffffffff,3.0,0.0,2.0
8296affffffffff,1.0,0.0,1.0
8296b7fffffffff,29.0,0.0,0.0
829707fffffffff,6.0,0.0,0.0
82970ffffffffff,1.0,0.0,0.0
829717fffffffff,43.0,0.0,36.0
82972ffffffffff,79.0,0.0,37.0
829747fffffffff,2.0,0.0,0.0
82974ffffffffff,18.0,0.0,9.0
829757fffffffff,52.0,0.0,25.0
82975ffffffffff,8.0,0.0,1.0
8297affffffffff,35.0,0.0,21.0
82bcd7fffffffff,1.0,0.0,0.0
