cell_id,Amazona leucocephala,Amazona leucocephala leucocephala,Amazona leucocephala bahamensis,Amazona leucocephala caymanensis/hesterna
834430fffffffff,14.0,9.0,0.0,0.0
834432fffffffff,35.0,8.0,0.0,0.0
834434fffffffff,36.0,9.0,0.0,0.0
834486fffffffff,193.0,0.0,15.0,0.0
8344b1fffffffff,142.0,0.0,40.0,0.0
8344b5fffffffff,43.0,0.0,43.0,0.0
83451bfffffffff,11.0,5.0,0.0,0.0
834583fffffffff,14.0,14.0,0.0,0.0
834584fffffffff,104.0,0.0,0.0,9.0
834588fffffffff,667.0,335.0,0.0,0.0
834589fffffffff,1.0,0.0,0.0,0.0
83458cfffffffff,1244.0,611.0,0.0,0.0
83458dfffffffff,114.0,73.0,0.0,0.0
83458efffffffff,111.0,48.0,0.0,0.0
834590fffffffff,6.0,0.0,0.0,0.0
834591fffffffff,270.0,116.0,0.0,0.0
834598fffffffff,17.0,3.0,0.0,0.0
83459cfffffffff,11.0,3.0,0.0,0.0
83459dfffffffff,5.0,5.0,0.0,0.0
83459efffffffff,22.0,19.0,0.0,0.0
8345a3fffffffff,1246.0,0.0,0.0,369.0
8345aefffffffff,16.0,0.0,0.0,7.0
834c83fffffffff,120.0,0.0,2.0,0.0
834c93fffffffff,4.0,4.0,0.0,0.0
834c98fffffffff,58.0,38.0,0.0,0.0
834c9afffffffff,4.0,0.0,0.0,0.0
834c9efffffffff,4.0,0.0,0.0,0.0
