cell_id,Artamella viridis,Artamella viridis viridis,Artamella viridis annae
82a227fffffffff,1.0,1.0,0.0
82a237fffffffff,1.0,1.0,0.0
82a31ffffffffff,1.0,1.0,0.0
82a39ffffffffff,1.0,0.0,1.0
