cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
82209ffffffffff,20.0,0.0,0.0
82309ffffffffff,12.0,0.0,0.0
823187fffffffff,3.0,0.0,0.0
8231affffffffff,4.0,0.0,0.0
823c07fffffffff,1.0,0.0,0.0
823c0ffffffffff,4.0,0.0,0.0
823c1ffffffffff,13.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,156.0,1.0,0.0
823cc7fffffffff,41.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0
823ce7fffffffff,3.0,0.0,0.0
823ceffffffffff,11.0,0.0,0.0
823d07fffffffff,2.0,0.0,0.0
823d17fffffffff,9.0,0.0,0.0
823d37fffffffff,12.0,1.0,0.0
824007fffffffff,2.0,2.0,0.0
82404ffffffffff,2.0,2.0,0.0
82408ffffffffff,2.0,0.0,0.0
8240c7fffffffff,6.0,6.0,0.0
8240d7fffffffff,1.0,0.0,0.0
8240e7fffffffff,2.0,2.0,0.0
8240effffffffff,4.0,4.0,0.0
824197fffffffff,5.0,0.0,0.0
82419ffffffffff,4.0,4.0,0.0
8241a7fffffffff,19.0,0.0,0.0
8241b7fffffffff,11.0,0.0,0.0
824ba7fffffffff,15.0,0.0,2.0
