cell_id,Salpinctes obsoletus,Salpinctes obsoletus [obsoletus Group],Salpinctes obsoletus [guttatus Group]
8212c7fffffffff,37.0,0.0,0.0
8212cffffffffff,340.0,0.0,0.0
8212d7fffffffff,134.0,0.0,0.0
8212dffffffffff,684.0,0.0,0.0
8212effffffffff,121.0,0.0,0.0
8212f7fffffffff,5.0,0.0,0.0
822617fffffffff,713.0,2.0,0.0
822637fffffffff,19.0,0.0,0.0
822687fffffffff,2122.0,0.0,0.0
82268ffffffffff,4704.0,0.0,0.0
822697fffffffff,2964.0,8.0,0.0
82269ffffffffff,5074.0,78.0,0.0
8226a7fffffffff,702.0,1.0,0.0
8226affffffffff,1449.0,8.0,0.0
8226b7fffffffff,431.0,0.0,0.0
8226c7fffffffff,174.0,0.0,0.0
8226cffffffffff,16.0,0.0,0.0
8226d7fffffffff,1635.0,0.0,0.0
8226dffffffffff,347.0,0.0,0.0
8226e7fffffffff,5.0,0.0,0.0
8226f7fffffffff,732.0,0.0,0.0
822787fffffffff,204.0,0.0,0.0
82278ffffffffff,527.0,0.0,0.0
822797fffffffff,330.0,0.0,0.0
82279ffffffffff,800.0,0.0,0.0
8227a7fffffffff,7.0,0.0,0.0
8227affffffffff,79.0,0.0,0.0
8227b7fffffffff,473.0,0.0,0.0
822807fffffffff,43.0,0.0,0.0
822817fffffffff,1836.0,0.0,0.0
82281ffffffffff,418.0,0.0,0.0
822837fffffffff,9469.0,5.0,0.0
822887fffffffff,2526.0,0.0,0.0
82288ffffffffff,4172.0,0.0,0.0
822897fffffffff,1126.0,0.0,0.0
82289ffffffffff,199.0,0.0,0.0
8228a7fffffffff,955.0,40.0,0.0
8228affffffffff,3221.0,46.0,0.0
8228b7fffffffff,1467.0,0.0,0.0
8228d7fffffffff,624.0,0.0,0.0
8228f7fffffffff,512.0,0.0,0.0
822917fffffffff,721.0,0.0,0.0
822987fffffffff,2634.0,0.0,0.0
82298ffffffffff,3844.0,0.0,0.0
822997fffffffff,4156.0,1.0,0.0
82299ffffffffff,718.0,0.0,0.0
8229a7fffffffff,11447.0,0.0,0.0
8229affffffffff,7144.0,0.0,0.0
8229b7fffffffff,5339.0,182.0,0.0
824807fffffffff,15.0,0.0,0.0
82480ffffffffff,313.0,0.0,0.0
824817fffffffff,183.0,0.0,0.0
82481ffffffffff,114.0,0.0,0.0
824827fffffffff,4.0,0.0,0.0
82482ffffffffff,27.0,0.0,0.0
824837fffffffff,9.0,0.0,0.0
824847fffffffff,130.0,0.0,0.0
82484ffffffffff,88.0,0.0,0.0
824857fffffffff,144.0,0.0,0.0
82485ffffffffff,638.0,0.0,0.0
82486ffffffffff,47.0,0.0,0.0
824877fffffffff,34.0,0.0,0.0
824887fffffffff,152.0,0.0,0.0
82488ffffffffff,1318.0,0.0,0.0
82489ffffffffff,576.0,0.0,0.0
8248a7fffffffff,288.0,0.0,0.0
8248affffffffff,1621.0,0.0,0.0
8248b7fffffffff,19.0,0.0,0.0
8248c7fffffffff,3491.0,0.0,0.0
8248cffffffffff,1837.0,171.0,0.0
8248d7fffffffff,1552.0,0.0,0.0
8248dffffffffff,5961.0,0.0,0.0
8248e7fffffffff,419.0,0.0,0.0
8248effffffffff,20174.0,221.0,0.0
8248f7fffffffff,1472.0,0.0,0.0
824987fffffffff,85.0,0.0,0.0
82498ffffffffff,117.0,0.0,0.0
824997fffffffff,145.0,20.0,0.0
82499ffffffffff,39.0,0.0,0.0
8249affffffffff,10.0,0.0,0.0
8249b7fffffffff,8.0,0.0,0.0
826d2ffffffffff,326.0,0.0,14.0
826d37fffffffff,1053.0,119.0,0.0
826d77fffffffff,40.0,0.0,0.0
