cell_id,Thamnistes anabatinus,Thamnistes anabatinus [anabatinus Group],Thamnistes anabatinus aequatorialis/gularis
824527fffffffff,97.0,0.0,0.0
82452ffffffffff,38.0,0.0,0.0
824537fffffffff,127.0,0.0,0.0
826617fffffffff,190.0,29.0,0.0
82661ffffffffff,15.0,0.0,0.0
8266a7fffffffff,615.0,44.0,0.0
8266b7fffffffff,1985.0,0.0,0.0
8266c7fffffffff,43.0,0.0,7.0
8266d7fffffffff,973.0,127.0,2.0
8266dffffffffff,316.0,0.0,39.0
8266f7fffffffff,200.0,7.0,0.0
826797fffffffff,19.0,0.0,0.0
82679ffffffffff,138.0,0.0,0.0
826d27fffffffff,1.0,0.0,0.0
826d2ffffffffff,35.0,14.0,0.0
826d6ffffffffff,3983.0,0.0,0.0
828f0ffffffffff,185.0,28.0,0.0
828f2ffffffffff,36.0,6.0,0.0
828f77fffffffff,45.0,0.0,5.0
