cell_id,Sterna vittata,Sterna vittata [vittata Group],Sterna vittata georgiae
82ad37fffffffff,56.0,18.0,0.0
82bc6ffffffffff,8.0,0.0,0.0
82be6ffffffffff,18.0,2.0,0.0
82bf6ffffffffff,35.0,0.0,0.0
82c01ffffffffff,3.0,0.0,0.0
82c0e7fffffffff,1.0,0.0,0.0
82c207fffffffff,1.0,0.0,0.0
82c2d7fffffffff,4.0,0.0,0.0
82c2f7fffffffff,2.0,0.0,0.0
82d16ffffffffff,2.0,0.0,0.0
82da07fffffffff,16.0,8.0,0.0
82da1ffffffffff,12.0,7.0,0.0
82da87fffffffff,5.0,0.0,0.0
82daaffffffffff,14.0,8.0,0.0
82db87fffffffff,5.0,0.0,0.0
82de0ffffffffff,2.0,0.0,0.0
82de87fffffffff,3.0,0.0,3.0
82de97fffffffff,10.0,0.0,9.0
82df07fffffffff,2.0,2.0,0.0
82df17fffffffff,4.0,4.0,0.0
82df4ffffffffff,3.0,0.0,0.0
82df8ffffffffff,2.0,2.0,0.0
82e097fffffffff,1.0,0.0,0.0
