cell_id,Anthus similis,Anthus similis bannermani,Anthus similis captus,Anthus similis arabicus,Anthus similis sokotrae,Anthus similis chyuluensis,Anthus similis [nivescens Group],Anthus similis jerdoni/decaptus,Anthus similis similis/travancoriensis,Anthus similis yamethini
84209a5ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84209b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842c831ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842c8e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842c8edffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db03ffffffff,57.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db05ffffffff,189.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db07ffffffff,47.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db11ffffffff,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db15ffffffff,53.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db1dffffffff,70.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db29ffffffff,164.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db2bffffffff,86.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db3dffffffff,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db67ffffffff,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c329ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cb65ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cb69ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cb6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cca1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
843ccbdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cd91ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
843cd9dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
843d107ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d10dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d12dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d135ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d137ffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d13dffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d141ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d147ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d165ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d305ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d323ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d325ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d34bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
