cell_id,Phaethornis griseogularis,Phaethornis griseogularis porcullae,Phaethornis griseogularis griseogularis/zonura
83662bfffffffff,4.0,0.0,0.0
83662dfffffffff,4.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c6fffffffff,2.0,0.0,0.0
8366defffffffff,17.0,0.0,5.0
8366e0fffffffff,2.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e5fffffffff,15.0,0.0,4.0
8366ecfffffffff,1.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675efffffffff,12.0,0.0,1.0
838f46fffffffff,2.0,0.0,2.0
838f50fffffffff,15.0,3.0,0.0
838f72fffffffff,2.0,2.0,0.0
