cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
845f767ffffffff,6.0,0.0,0.0,0.0,0.0
8466021ffffffff,5.0,0.0,0.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0,0.0,0.0
8466091ffffffff,1.0,0.0,0.0,0.0,0.0
8466099ffffffff,1.0,0.0,0.0,0.0,0.0
84660a7ffffffff,10.0,0.0,0.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0,0.0,0.0
84660d9ffffffff,1.0,0.0,0.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0,0.0,0.0
84660e1ffffffff,5.0,0.0,0.0,0.0,0.0
84660e7ffffffff,2.0,0.0,0.0,0.0,0.0
8466105ffffffff,6.0,0.0,0.0,0.0,0.0
8466107ffffffff,232.0,0.0,15.0,0.0,0.0
846610bffffffff,3.0,0.0,0.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0,0.0,0.0
8466117ffffffff,3.0,0.0,0.0,0.0,0.0
846611dffffffff,7.0,0.0,0.0,0.0,0.0
8466129ffffffff,37.0,0.0,0.0,0.0,0.0
8466131ffffffff,40.0,0.0,9.0,0.0,0.0
8466135ffffffff,15.0,0.0,2.0,0.0,0.0
8466139ffffffff,145.0,0.0,25.0,0.0,0.0
846613bffffffff,5.0,0.0,0.0,0.0,0.0
846613dffffffff,4.0,0.0,0.0,0.0,0.0
8466153ffffffff,3.0,0.0,0.0,0.0,0.0
8466163ffffffff,289.0,0.0,16.0,0.0,0.0
8466165ffffffff,27.0,0.0,0.0,0.0,0.0
8466167ffffffff,9.0,0.0,3.0,0.0,0.0
84661a5ffffffff,16.0,0.0,0.0,0.0,0.0
84661a7ffffffff,4.0,0.0,0.0,0.0,0.0
84661adffffffff,12.0,0.0,0.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0,0.0,0.0
8466205ffffffff,5.0,0.0,0.0,0.0,0.0
8466213ffffffff,5.0,0.0,0.0,0.0,0.0
8466221ffffffff,1.0,0.0,0.0,0.0,0.0
846622bffffffff,32.0,0.0,0.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0,0.0,0.0
8466411ffffffff,6.0,0.0,0.0,0.0,0.0
8466415ffffffff,7.0,0.0,0.0,0.0,0.0
846656dffffffff,15.0,0.0,0.0,0.0,0.0
84665a3ffffffff,2.0,0.0,0.0,0.0,0.0
84665abffffffff,21.0,0.0,0.0,0.0,0.0
84665bdffffffff,23.0,0.0,0.0,0.0,0.0
8466637ffffffff,6.0,0.0,0.0,0.0,0.0
84666ebffffffff,1.0,0.0,0.0,0.0,0.0
846676dffffffff,1.0,0.0,0.0,0.0,0.0
8466849ffffffff,19.0,0.0,0.0,0.0,0.0
