cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
822997fffffffff,245.0,59.0,0.0
8229b7fffffffff,2409.0,148.0,0.0
824427fffffffff,9.0,4.0,0.0
824507fffffffff,1332.0,98.0,0.0
82450ffffffffff,1216.0,135.0,0.0
82451ffffffffff,59.0,2.0,0.0
824527fffffffff,5788.0,250.0,105.0
82452ffffffffff,470.0,105.0,0.0
824537fffffffff,598.0,32.0,8.0
824577fffffffff,461.0,108.0,0.0
824807fffffffff,77.0,2.0,0.0
82480ffffffffff,446.0,47.0,0.0
824817fffffffff,215.0,34.0,0.0
82481ffffffffff,40.0,5.0,0.0
824837fffffffff,3012.0,124.0,0.0
824857fffffffff,11.0,0.0,0.0
824887fffffffff,33.0,3.0,0.0
82488ffffffffff,16.0,2.0,0.0
8248a7fffffffff,332.0,13.0,0.0
8248affffffffff,1045.0,61.0,0.0
8248b7fffffffff,16.0,0.0,0.0
8248c7fffffffff,1136.0,94.0,0.0
8248cffffffffff,597.0,79.0,0.0
8248d7fffffffff,82.0,3.0,0.0
8248dffffffffff,473.0,5.0,0.0
8248e7fffffffff,93.0,10.0,0.0
8248effffffffff,1976.0,248.0,0.0
8248f7fffffffff,353.0,21.0,0.0
824987fffffffff,22.0,6.0,0.0
82498ffffffffff,19.0,1.0,0.0
824997fffffffff,2070.0,199.0,0.0
82499ffffffffff,118.0,10.0,0.0
8249a7fffffffff,9.0,0.0,0.0
8249affffffffff,815.0,50.0,0.0
8249b7fffffffff,131.0,8.0,0.0
825e77fffffffff,257.0,76.0,0.0
825f4ffffffffff,29.0,1.0,0.0
825f5ffffffffff,1904.0,247.0,0.0
826607fffffffff,190.0,0.0,0.0
82660ffffffffff,27.0,0.0,0.0
826617fffffffff,1631.0,0.0,105.0
82661ffffffffff,336.0,0.0,26.0
826627fffffffff,852.0,70.0,0.0
82662ffffffffff,36.0,0.0,0.0
826637fffffffff,84.0,1.0,0.0
826667fffffffff,10.0,0.0,0.0
826687fffffffff,45.0,0.0,12.0
8266a7fffffffff,3311.0,182.0,358.0
8266affffffffff,7.0,0.0,0.0
8266b7fffffffff,3740.0,7.0,14.0
8266d7fffffffff,38.0,0.0,1.0
8266e7fffffffff,9.0,0.0,0.0
8266f7fffffffff,60.0,0.0,2.0
826747fffffffff,241.0,7.0,0.0
82674ffffffffff,302.0,7.0,0.0
826757fffffffff,309.0,1.0,0.0
82675ffffffffff,64.0,0.0,0.0
82676ffffffffff,4.0,0.0,0.0
82678ffffffffff,2.0,0.0,0.0
826797fffffffff,29.0,0.0,0.0
82679ffffffffff,2562.0,62.0,0.0
8267b7fffffffff,16.0,0.0,0.0
826d07fffffffff,374.0,43.0,0.0
826d17fffffffff,331.0,48.0,0.0
826d27fffffffff,452.0,24.0,0.0
826d2ffffffffff,655.0,116.0,50.0
826d37fffffffff,1488.0,110.0,0.0
826d67fffffffff,2198.0,143.0,242.0
826d6ffffffffff,6619.0,18.0,69.0
826d77fffffffff,1116.0,23.0,64.0
828f0ffffffffff,18.0,0.0,8.0
828f27fffffffff,3.0,0.0,0.0
828f2ffffffffff,133.0,0.0,43.0
