cell_id,Pycnonotus barbatus,Pycnonotus barbatus [barbatus Group],Pycnonotus barbatus somaliensis,Pycnonotus barbatus dodsoni,Pycnonotus barbatus [tricolor Group]
8438145ffffffff,3.0,0.0,0.0,0.0,0.0
8438161ffffffff,22.0,0.0,0.0,0.0,0.0
8438169ffffffff,22.0,2.0,0.0,0.0,0.0
843816dffffffff,173.0,14.0,0.0,0.0,0.0
8438301ffffffff,1.0,0.0,0.0,0.0,0.0
843830dffffffff,4.0,0.0,0.0,0.0,0.0
8438325ffffffff,11.0,0.0,0.0,0.0,0.0
843834dffffffff,33.0,0.0,0.0,0.0,0.0
8438353ffffffff,6.0,0.0,0.0,0.0,0.0
8438361ffffffff,13.0,1.0,0.0,0.0,0.0
8438365ffffffff,7.0,4.0,0.0,0.0,0.0
8438367ffffffff,12.0,2.0,0.0,0.0,0.0
8438369ffffffff,2.0,2.0,0.0,0.0,0.0
843836bffffffff,23.0,3.0,0.0,0.0,0.0
843836dffffffff,19.0,2.0,0.0,0.0,0.0
8438415ffffffff,2.0,0.0,0.0,0.0,0.0
8438419ffffffff,1.0,0.0,0.0,0.0,0.0
84385cbffffffff,1.0,0.0,0.0,0.0,0.0
8438621ffffffff,1.0,0.0,0.0,0.0,0.0
8438625ffffffff,38.0,3.0,0.0,0.0,0.0
8438627ffffffff,2.0,0.0,0.0,0.0,0.0
843862bffffffff,3.0,1.0,0.0,0.0,0.0
843862dffffffff,7.0,1.0,0.0,0.0,0.0
8438631ffffffff,1.0,0.0,0.0,0.0,0.0
8438633ffffffff,6.0,0.0,0.0,0.0,0.0
8438685ffffffff,29.0,0.0,0.0,0.0,0.0
84386a9ffffffff,14.0,0.0,0.0,0.0,0.0
84386e3ffffffff,50.0,0.0,0.0,0.0,0.0
8438753ffffffff,6.0,6.0,0.0,0.0,0.0
843875bffffffff,6.0,1.0,0.0,0.0,0.0
8438a49ffffffff,9.0,0.0,0.0,0.0,0.0
8438a4dffffffff,7.0,0.0,0.0,0.0,0.0
84391a1ffffffff,40.0,5.0,0.0,0.0,0.0
84391a3ffffffff,1.0,0.0,0.0,0.0,0.0
84391a5ffffffff,29.0,0.0,0.0,0.0,0.0
84391a7ffffffff,14.0,0.0,0.0,0.0,0.0
84391a9ffffffff,638.0,0.0,0.0,0.0,0.0
84391abffffffff,365.0,0.0,0.0,0.0,0.0
84391adffffffff,10.0,3.0,0.0,0.0,0.0
84395a5ffffffff,1.0,0.0,0.0,0.0,0.0
8439801ffffffff,1.0,0.0,0.0,0.0,0.0
8439805ffffffff,70.0,4.0,0.0,0.0,0.0
8439807ffffffff,5.0,1.0,0.0,0.0,0.0
843980bffffffff,1.0,0.0,0.0,0.0,0.0
8439811ffffffff,3.0,0.0,0.0,0.0,0.0
8439815ffffffff,2.0,0.0,0.0,0.0,0.0
8439817ffffffff,26.0,12.0,0.0,0.0,0.0
843981bffffffff,7.0,0.0,0.0,0.0,0.0
8439821ffffffff,39.0,10.0,0.0,0.0,0.0
8439823ffffffff,2.0,0.0,0.0,0.0,0.0
8439825ffffffff,32.0,4.0,0.0,0.0,0.0
8439827ffffffff,175.0,30.0,0.0,0.0,0.0
8439829ffffffff,2.0,0.0,0.0,0.0,0.0
8439831ffffffff,6.0,1.0,0.0,0.0,0.0
8439833ffffffff,235.0,50.0,0.0,0.0,0.0
8439835ffffffff,16.0,4.0,0.0,0.0,0.0
8439837ffffffff,64.0,12.0,0.0,0.0,0.0
8439839ffffffff,6.0,1.0,0.0,0.0,0.0
