cell_id,Cinnyris ludovicensis,Cinnyris ludovicensis ludovicensis,Cinnyris ludovicensis whytei/skye
8296a7fffffffff,4.0,0.0,3.0
8296b7fffffffff,1.0,0.0,1.0
