cell_id,Neocossyphus rufus,Neocossyphus rufus gabunensis,Neocossyphus rufus rufus
846a967ffffffff,2.0,0.0,0.0
846a9e7ffffffff,2.0,0.0,0.0
846a9edffffffff,1.0,0.0,0.0
846ac03ffffffff,76.0,13.0,0.0
846ac0bffffffff,57.0,9.0,0.0
846ac15ffffffff,88.0,13.0,0.0
846ac1dffffffff,4.0,1.0,0.0
846ac35ffffffff,3.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0
846adc1ffffffff,19.0,1.0,0.0
846ae85ffffffff,3.0,0.0,0.0
846aea1ffffffff,56.0,2.0,0.0
846aeabffffffff,15.0,0.0,0.0
847a759ffffffff,1.0,0.0,0.0
847a75dffffffff,1.0,0.0,0.0
847b487ffffffff,92.0,0.0,12.0
847b4a1ffffffff,5.0,0.0,0.0
847b4a5ffffffff,1.0,0.0,0.0
847b4a7ffffffff,12.0,0.0,0.0
847b591ffffffff,9.0,0.0,0.0
847b597ffffffff,177.0,0.0,0.0
847b59bffffffff,1.0,0.0,0.0
848282dffffffff,1.0,0.0,0.0
8482845ffffffff,1.0,0.0,0.0
848284dffffffff,6.0,1.0,0.0
8482891ffffffff,1.0,0.0,0.0
84828d1ffffffff,70.0,0.0,0.0
8482909ffffffff,1.0,0.0,0.0
848290bffffffff,1.0,0.0,0.0
8482aadffffffff,9.0,2.0,0.0
8482ab7ffffffff,5.0,0.0,0.0
8483921ffffffff,1.0,0.0,0.0
