cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
82149ffffffffff,18.0,0.0,0.0
821597fffffffff,1.0,0.0,0.0
82159ffffffffff,2.0,0.0,0.0
8215b7fffffffff,4.0,0.0,0.0
82204ffffffffff,11.0,0.0,0.0
82206ffffffffff,1.0,0.0,0.0
8220affffffffff,3.0,0.0,0.0
8220e7fffffffff,33.0,0.0,0.0
8220effffffffff,2.0,0.0,0.0
8220f7fffffffff,5.0,0.0,0.0
822407fffffffff,2.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0
822427fffffffff,3.0,0.0,0.0
82242ffffffffff,21.0,0.0,0.0
82244ffffffffff,2.0,0.0,0.0
822457fffffffff,3.0,0.0,0.0
822467fffffffff,35.0,0.0,0.0
822477fffffffff,6.0,0.0,0.0
82248ffffffffff,19.0,0.0,0.0
8224c7fffffffff,19.0,0.0,0.0
8224d7fffffffff,18.0,0.0,0.0
822507fffffffff,5.0,0.0,0.0
82250ffffffffff,1.0,0.0,0.0
822517fffffffff,74.0,0.0,0.0
822547fffffffff,1.0,0.0,0.0
822557fffffffff,6.0,0.0,0.0
82255ffffffffff,77.0,0.0,0.0
8225affffffffff,2.0,0.0,0.0
8225b7fffffffff,2.0,0.0,0.0
822e0ffffffffff,96.0,0.0,0.0
822e17fffffffff,9.0,0.0,0.0
822e1ffffffffff,29.0,0.0,0.0
822e2ffffffffff,26.0,0.0,0.0
822e47fffffffff,11.0,0.0,0.0
822e67fffffffff,358.0,0.0,0.0
822e6ffffffffff,380.0,0.0,0.0
822e77fffffffff,412.0,0.0,0.0
822eaffffffffff,34.0,0.0,0.0
822ecffffffffff,4.0,0.0,0.0
822ef7fffffffff,6.0,0.0,0.0
822f47fffffffff,2.0,0.0,0.0
822f5ffffffffff,628.0,0.0,0.0
823007fffffffff,8.0,0.0,0.0
823017fffffffff,19.0,0.0,0.0
82301ffffffffff,72.0,0.0,0.0
823027fffffffff,1.0,0.0,0.0
82302ffffffffff,2.0,0.0,0.0
823037fffffffff,47.0,0.0,0.0
823087fffffffff,8.0,0.0,0.0
823097fffffffff,1.0,0.0,0.0
82309ffffffffff,70.0,0.0,0.0
8230a7fffffffff,2.0,0.0,0.0
8230affffffffff,2.0,0.0,0.0
8230c7fffffffff,12.0,0.0,0.0
8230cffffffffff,2.0,0.0,0.0
8230d7fffffffff,20.0,0.0,0.0
8230dffffffffff,88.0,0.0,0.0
8230e7fffffffff,158.0,0.0,0.0
8230effffffffff,26.0,0.0,0.0
823107fffffffff,4.0,0.0,0.0
823117fffffffff,5.0,0.0,0.0
82311ffffffffff,2.0,0.0,0.0
823127fffffffff,9.0,0.0,0.0
82312ffffffffff,4.0,0.0,0.0
823137fffffffff,9.0,0.0,0.0
823157fffffffff,1.0,0.0,0.0
82315ffffffffff,2.0,0.0,0.0
823167fffffffff,3.0,0.0,0.0
82316ffffffffff,47.0,0.0,0.0
823187fffffffff,462.0,0.0,0.0
823197fffffffff,25.0,2.0,0.0
82319ffffffffff,3.0,0.0,0.0
8231a7fffffffff,1.0,0.0,0.0
8231affffffffff,263.0,0.0,0.0
824047fffffffff,1.0,0.0,0.0
82405ffffffffff,2.0,0.0,0.0
82408ffffffffff,6.0,0.0,0.0
824097fffffffff,6.0,0.0,0.0
82409ffffffffff,1.0,0.0,0.0
8240a7fffffffff,12.0,0.0,0.0
8240b7fffffffff,17.0,0.0,0.0
8240c7fffffffff,1.0,0.0,0.0
824197fffffffff,108.0,0.0,0.0
8241a7fffffffff,1.0,0.0,0.0
824b27fffffffff,1.0,0.0,0.0
824b37fffffffff,16.0,0.0,0.0
824b67fffffffff,148.0,0.0,0.0
824b6ffffffffff,11.0,0.0,0.0
824b77fffffffff,241.0,0.0,0.0
