cell_id,Pachycoccyx audeberti,Pachycoccyx audeberti validus/brazzae,Pachycoccyx audeberti audeberti
835896fffffffff,45.0,0.0,0.0
8358b2fffffffff,1.0,0.0,0.0
836a14fffffffff,1.0,0.0,0.0
836a9afffffffff,2.0,0.0,0.0
836aebfffffffff,1.0,1.0,0.0
837508fffffffff,3.0,0.0,0.0
83750cfffffffff,1.0,0.0,0.0
83750dfffffffff,8.0,0.0,0.0
837520fffffffff,16.0,0.0,0.0
837529fffffffff,7.0,1.0,0.0
83752afffffffff,21.0,0.0,0.0
83752bfffffffff,6.0,1.0,0.0
837576fffffffff,1.0,0.0,0.0
837a66fffffffff,5.0,0.0,0.0
837a75fffffffff,1.0,0.0,0.0
837b48fffffffff,6.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0
837b4cfffffffff,1.0,0.0,0.0
837b59fffffffff,13.0,0.0,0.0
837b5bfffffffff,4.0,0.0,0.0
837b6bfffffffff,1.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0
838290fffffffff,5.0,0.0,0.0
8382a3fffffffff,3.0,0.0,0.0
838312fffffffff,6.0,0.0,0.0
838326fffffffff,1.0,0.0,0.0
838392fffffffff,2.0,0.0,0.0
8383acfffffffff,2.0,0.0,0.0
839600fffffffff,2.0,0.0,0.0
839601fffffffff,3.0,0.0,0.0
839602fffffffff,4.0,0.0,0.0
839605fffffffff,3.0,1.0,0.0
83960bfffffffff,1.0,0.0,0.0
83960efffffffff,3.0,0.0,0.0
839615fffffffff,1.0,0.0,0.0
839622fffffffff,1.0,0.0,0.0
839623fffffffff,1.0,0.0,0.0
839626fffffffff,13.0,0.0,0.0
83962cfffffffff,3.0,3.0,0.0
83962efffffffff,1.0,0.0,0.0
839636fffffffff,1.0,0.0,0.0
839656fffffffff,3.0,0.0,0.0
839672fffffffff,1.0,0.0,0.0
8396adfffffffff,1.0,0.0,0.0
8396b0fffffffff,2.0,0.0,0.0
8396b1fffffffff,3.0,0.0,0.0
839703fffffffff,2.0,0.0,0.0
83970dfffffffff,1.0,0.0,0.0
839710fffffffff,3.0,0.0,0.0
839711fffffffff,6.0,0.0,0.0
839715fffffffff,1.0,0.0,0.0
83971bfffffffff,1.0,0.0,0.0
83971cfffffffff,1.0,0.0,0.0
839724fffffffff,1.0,0.0,0.0
839728fffffffff,2.0,0.0,0.0
83972cfffffffff,1.0,0.0,0.0
83972dfffffffff,1.0,0.0,0.0
83972efffffffff,3.0,1.0,0.0
839731fffffffff,2.0,0.0,0.0
839750fffffffff,1.0,0.0,0.0
839751fffffffff,2.0,1.0,0.0
839753fffffffff,2.0,2.0,0.0
83978bfffffffff,4.0,0.0,0.0
839791fffffffff,1.0,0.0,0.0
8397aafffffffff,3.0,0.0,0.0
83bcd0fffffffff,8.0,5.0,0.0
83bcd2fffffffff,13.0,3.0,0.0
83bcd3fffffffff,4.0,0.0,0.0
83bcd4fffffffff,6.0,0.0,0.0
83bcd6fffffffff,2.0,0.0,0.0
