cell_id,Colaptes rivolii,Colaptes rivolii [rivolii Group],Colaptes rivolii atriceps
836601fffffffff,5.0,0.0,0.0
836608fffffffff,107.0,0.0,0.0
836609fffffffff,58.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0
83660bfffffffff,561.0,2.0,0.0
83660cfffffffff,80.0,0.0,0.0
83660dfffffffff,17.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0
836618fffffffff,190.0,1.0,0.0
836619fffffffff,352.0,1.0,0.0
83661bfffffffff,476.0,3.0,0.0
83661dfffffffff,30.0,0.0,0.0
836621fffffffff,382.0,0.0,0.0
836629fffffffff,35.0,0.0,0.0
83662bfffffffff,13.0,0.0,0.0
83662dfffffffff,5.0,0.0,0.0
83662efffffffff,11.0,0.0,0.0
8366c0fffffffff,29.0,0.0,0.0
8366c2fffffffff,155.0,0.0,0.0
8366c4fffffffff,57.0,0.0,0.0
8366c6fffffffff,451.0,0.0,0.0
8366d0fffffffff,19.0,0.0,0.0
8366d1fffffffff,67.0,0.0,0.0
8366d2fffffffff,2.0,0.0,0.0
8366d3fffffffff,2271.0,64.0,0.0
8366d5fffffffff,142.0,0.0,0.0
8366defffffffff,714.0,33.0,0.0
8366e0fffffffff,205.0,0.0,0.0
8366e2fffffffff,24.0,0.0,0.0
8366e4fffffffff,719.0,3.0,0.0
8366e5fffffffff,367.0,2.0,0.0
8366e6fffffffff,3975.0,43.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,165.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0
8366f5fffffffff,291.0,1.0,0.0
83675afffffffff,13.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0
838b2cfffffffff,76.0,0.0,0.0
838b2dfffffffff,16.0,0.0,0.0
838b61fffffffff,385.0,0.0,8.0
838b6cfffffffff,127.0,0.0,1.0
838b75fffffffff,2.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0
838e61fffffffff,4.0,0.0,0.0
838e64fffffffff,60.0,0.0,0.0
838e65fffffffff,62.0,0.0,0.0
838e6cfffffffff,6.0,0.0,0.0
838e6dfffffffff,124.0,0.0,0.0
838f0dfffffffff,11.0,2.0,0.0
838f29fffffffff,38.0,1.0,0.0
838f2bfffffffff,29.0,5.0,0.0
838f2dfffffffff,50.0,0.0,0.0
838f42fffffffff,71.0,0.0,0.0
838f46fffffffff,54.0,0.0,0.0
838f4afffffffff,41.0,2.0,0.0
838f54fffffffff,36.0,0.0,0.0
838f55fffffffff,134.0,2.0,0.0
838f59fffffffff,30.0,5.0,0.0
838f5cfffffffff,7.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0
838f72fffffffff,363.0,21.0,0.0
838f73fffffffff,153.0,0.0,0.0
838f74fffffffff,24.0,0.0,0.0
838f76fffffffff,348.0,22.0,0.0
83b321fffffffff,6.0,0.0,0.0
83b325fffffffff,63.0,0.0,0.0
