cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
846ac8bffffffff,1.0,0.0,0.0
846ac8dffffffff,2.0,0.0,0.0
846ac93ffffffff,39.0,0.0,0.0
846ac9bffffffff,10.0,0.0,0.0
846acc3ffffffff,3.0,0.0,0.0
846acc7ffffffff,2.0,0.0,0.0
846ace5ffffffff,82.0,0.0,6.0
846ad81ffffffff,2.0,0.0,0.0
846ad83ffffffff,2.0,0.0,0.0
846ad85ffffffff,2.0,0.0,0.0
846ad8bffffffff,32.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0
846adc1ffffffff,27.0,0.0,4.0
846adc7ffffffff,7.0,0.0,0.0
846adc9ffffffff,22.0,0.0,1.0
846add7ffffffff,9.0,0.0,0.0
846add9ffffffff,4.0,0.0,0.0
846adddffffffff,2.0,0.0,0.0
846ade7ffffffff,4.0,0.0,0.0
846adebffffffff,7.0,0.0,0.0
846ae0bffffffff,2.0,0.0,0.0
846ae15ffffffff,1.0,0.0,0.0
846ae85ffffffff,107.0,0.0,26.0
846aea1ffffffff,40.0,0.0,5.0
846aea3ffffffff,1.0,0.0,0.0
846aea9ffffffff,44.0,0.0,11.0
846aeabffffffff,11.0,0.0,5.0
846aeb5ffffffff,4.0,0.0,1.0
846aed3ffffffff,1.0,0.0,1.0
846aee1ffffffff,4.0,0.0,0.0
846aee3ffffffff,238.0,0.0,14.0
846aee7ffffffff,1.0,0.0,0.0
846aee9ffffffff,2.0,0.0,0.0
846b127ffffffff,6.0,0.0,0.0
8475087ffffffff,1.0,0.0,0.0
847509dffffffff,4.0,0.0,0.0
84750d1ffffffff,35.0,0.0,2.0
84750d3ffffffff,57.0,0.0,7.0
84750dbffffffff,7.0,0.0,0.0
8475131ffffffff,1.0,0.0,0.0
8475201ffffffff,88.0,0.0,11.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,86.0,0.0,19.0
8475209ffffffff,2.0,0.0,0.0
847520bffffffff,1.0,0.0,0.0
847522dffffffff,2.0,0.0,0.0
8475257ffffffff,2.0,0.0,2.0
8475293ffffffff,31.0,0.0,3.0
8475295ffffffff,5.0,0.0,1.0
8475299ffffffff,6.0,0.0,0.0
847529bffffffff,73.0,0.0,6.0
84752a1ffffffff,3.0,0.0,0.0
84752adffffffff,6.0,0.0,0.0
84752d3ffffffff,2.0,0.0,2.0
84752dbffffffff,2.0,0.0,0.0
84752e9ffffffff,3.0,0.0,0.0
8475313ffffffff,3.0,0.0,0.0
847532bffffffff,2.0,0.0,0.0
8475761ffffffff,47.0,0.0,6.0
8475769ffffffff,7.0,0.0,0.0
8475a65ffffffff,2.0,0.0,0.0
847a401ffffffff,2.0,0.0,0.0
847a407ffffffff,8.0,0.0,0.0
847a40bffffffff,46.0,0.0,0.0
847a40dffffffff,7.0,0.0,0.0
847a41dffffffff,13.0,0.0,0.0
847a453ffffffff,8.0,0.0,0.0
847a457ffffffff,16.0,0.0,0.0
847a459ffffffff,4.0,0.0,0.0
847a45dffffffff,4.0,0.0,0.0
847a481ffffffff,14.0,0.0,0.0
847a483ffffffff,36.0,0.0,2.0
847a489ffffffff,25.0,0.0,0.0
847a48bffffffff,1.0,0.0,0.0
847a495ffffffff,6.0,0.0,0.0
847a4b1ffffffff,6.0,0.0,3.0
847a4b7ffffffff,4.0,0.0,0.0
847a4bbffffffff,1.0,0.0,0.0
847a4c1ffffffff,7.0,0.0,0.0
847a4c5ffffffff,5.0,0.0,0.0
847a4cdffffffff,6.0,0.0,0.0
847a4d1ffffffff,36.0,0.0,0.0
847a4d7ffffffff,2.0,0.0,0.0
847a4d9ffffffff,4.0,0.0,0.0
847a4dbffffffff,10.0,0.0,0.0
847a4ddffffffff,4.0,0.0,0.0
847a601ffffffff,2.0,0.0,0.0
847a603ffffffff,3.0,0.0,0.0
847a609ffffffff,34.0,0.0,0.0
847a60bffffffff,6.0,0.0,0.0
847a611ffffffff,1.0,0.0,0.0
847a615ffffffff,3.0,0.0,0.0
847a617ffffffff,2.0,0.0,0.0
847a619ffffffff,1.0,0.0,0.0
847a61dffffffff,9.0,0.0,0.0
847a631ffffffff,3.0,0.0,0.0
847a643ffffffff,8.0,0.0,0.0
847a651ffffffff,4.0,0.0,0.0
847a653ffffffff,21.0,0.0,0.0
847a657ffffffff,32.0,0.0,0.0
847a659ffffffff,9.0,0.0,0.0
847a669ffffffff,3.0,0.0,0.0
847a66bffffffff,2.0,0.0,0.0
847a66dffffffff,10.0,0.0,0.0
847a681ffffffff,24.0,0.0,0.0
847a683ffffffff,117.0,0.0,0.0
847a685ffffffff,1.0,0.0,0.0
847a687ffffffff,2.0,0.0,0.0
847a689ffffffff,3.0,0.0,0.0
847a68bffffffff,17.0,0.0,0.0
847a691ffffffff,2.0,0.0,0.0
847a695ffffffff,1.0,0.0,0.0
847a69dffffffff,1.0,0.0,0.0
847a6a1ffffffff,24.0,0.0,0.0
847a6adffffffff,21.0,0.0,0.0
847a6b3ffffffff,3.0,0.0,0.0
847a6b5ffffffff,6.0,0.0,0.0
847a6b7ffffffff,2.0,0.0,0.0
847a6bbffffffff,6.0,0.0,0.0
847a6d1ffffffff,36.0,0.0,0.0
847a6d5ffffffff,4.0,0.0,0.0
847a6d9ffffffff,2.0,0.0,0.0
847a6dbffffffff,6.0,0.0,0.0
847a6e1ffffffff,1.0,0.0,0.0
847a6e5ffffffff,18.0,0.0,0.0
847a6e7ffffffff,5.0,0.0,0.0
847ac15ffffffff,2.0,0.0,2.0
847ac81ffffffff,24.0,0.0,0.0
847ac8bffffffff,26.0,0.0,5.0
847ac93ffffffff,1.0,0.0,0.0
847ac97ffffffff,12.0,0.0,0.0
847aca1ffffffff,1.0,0.0,0.0
847aca3ffffffff,17.0,0.0,5.0
847aca5ffffffff,3.0,0.0,0.0
847acabffffffff,4.0,0.0,0.0
847acc5ffffffff,2.0,0.0,0.0
847acd5ffffffff,3.0,0.0,0.0
847acd7ffffffff,3.0,0.0,0.0
847acdbffffffff,4.0,0.0,0.0
847ad91ffffffff,18.0,0.0,6.0
847ad93ffffffff,41.0,0.0,5.0
847ad99ffffffff,32.0,0.0,5.0
847ad9dffffffff,2.0,0.0,2.0
847ae85ffffffff,3.0,0.0,0.0
847ae87ffffffff,2.0,0.0,0.0
847aeabffffffff,2.0,0.0,0.0
847b481ffffffff,3.0,0.0,0.0
847b485ffffffff,2.0,0.0,0.0
847b487ffffffff,1.0,0.0,0.0
847b489ffffffff,7.0,0.0,0.0
847b4a1ffffffff,18.0,0.0,0.0
847b4a3ffffffff,1.0,0.0,0.0
847b4a5ffffffff,16.0,0.0,0.0
847b4a7ffffffff,13.0,0.0,0.0
847b4b9ffffffff,2.0,0.0,0.0
847b4cbffffffff,3.0,0.0,0.0
847b4d1ffffffff,2.0,0.0,0.0
847b4d3ffffffff,2.0,0.0,0.0
847b4dbffffffff,6.0,0.0,4.0
847b591ffffffff,8.0,0.0,0.0
847b595ffffffff,44.0,0.0,0.0
847b597ffffffff,118.0,0.0,0.0
