cell_id,Myioborus ornatus,Myioborus ornatus chrysops,Myioborus ornatus ornatus
836608fffffffff,308.0,0.0,27.0
836609fffffffff,119.0,0.0,0.0
83660afffffffff,6.0,0.0,0.0
83660bfffffffff,757.0,0.0,18.0
83660cfffffffff,216.0,0.0,8.0
83660dfffffffff,55.0,0.0,2.0
836618fffffffff,972.0,18.0,0.0
836619fffffffff,874.0,4.0,0.0
83661bfffffffff,2907.0,260.0,0.0
83661dfffffffff,205.0,2.0,0.0
83662bfffffffff,1.0,0.0,0.0
8366c0fffffffff,71.0,0.0,0.0
8366c2fffffffff,17.0,0.0,0.0
8366c4fffffffff,61.0,1.0,0.0
8366c6fffffffff,759.0,6.0,0.0
8366d0fffffffff,3.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366d5fffffffff,45.0,3.0,0.0
8366e0fffffffff,762.0,0.0,35.0
8366e2fffffffff,151.0,0.0,0.0
8366e4fffffffff,2014.0,0.0,84.0
8366e5fffffffff,716.0,0.0,19.0
8366e6fffffffff,8018.0,484.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,289.0,2.0,0.0
8366f3fffffffff,13.0,0.0,0.0
8366f5fffffffff,480.0,1.0,0.0
