cell_id,Hemixos flavala,Hemixos flavala [flavala Group],Hemixos flavala remotus
833c02fffffffff,1.0,0.0,0.0
833c0afffffffff,32.0,0.0,0.0
833c1dfffffffff,4.0,0.0,0.0
833c36fffffffff,1.0,0.0,0.0
833c52fffffffff,3.0,0.0,0.0
833c58fffffffff,6.0,6.0,0.0
833c5afffffffff,7.0,7.0,0.0
833cc4fffffffff,4.0,0.0,0.0
833cc5fffffffff,2.0,0.0,0.0
833ce1fffffffff,5.0,0.0,0.0
833ce2fffffffff,8.0,8.0,0.0
833ce3fffffffff,2.0,0.0,0.0
833ce4fffffffff,1.0,0.0,0.0
833ce8fffffffff,13.0,2.0,0.0
833ceafffffffff,6.0,0.0,0.0
833cecfffffffff,1.0,0.0,0.0
833cedfffffffff,1.0,0.0,0.0
833d13fffffffff,60.0,8.0,0.0
833dadfffffffff,54.0,43.0,0.0
83404cfffffffff,6.0,6.0,0.0
83404dfffffffff,13.0,13.0,0.0
834065fffffffff,4.0,4.0,0.0
83406bfffffffff,10.0,10.0,0.0
8365b6fffffffff,11.0,0.0,11.0
