cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
834505fffffffff,5.0,0.0,0.0
83450bfffffffff,3.0,0.0,0.0
834520fffffffff,6.0,4.0,0.0
834521fffffffff,1.0,0.0,0.0
834525fffffffff,2.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0
834528fffffffff,9.0,0.0,0.0
83452afffffffff,2.0,0.0,0.0
83452efffffffff,6.0,3.0,0.0
834564fffffffff,3.0,1.0,0.0
834572fffffffff,1.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834996fffffffff,13.0,2.0,0.0
83499cfffffffff,2.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
836611fffffffff,9.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0
83661cfffffffff,11.0,0.0,0.0
8366b0fffffffff,5.0,4.0,0.0
8366b4fffffffff,4.0,1.0,0.0
8366b5fffffffff,6.0,2.0,0.0
8366d0fffffffff,2.0,0.0,0.0
8366d3fffffffff,5.0,0.0,5.0
8366f0fffffffff,6.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0
8366f5fffffffff,7.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
83679afffffffff,4.0,2.0,0.0
836d20fffffffff,4.0,4.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,3.0,0.0,0.0
836d29fffffffff,6.0,6.0,0.0
836d2cfffffffff,6.0,2.0,0.0
836d30fffffffff,3.0,1.0,0.0
836d31fffffffff,9.0,4.0,0.0
836d35fffffffff,5.0,2.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d64fffffffff,9.0,0.0,0.0
836d65fffffffff,7.0,0.0,0.0
836d66fffffffff,8.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,156.0,130.0,0.0
838f0dfffffffff,5.0,2.0,0.0
838f2afffffffff,4.0,0.0,4.0
