cell_id,Uropsila leucogastra,Uropsila leucogastra [leucogastra Group],Uropsila leucogastra pacifica
83450efffffffff,1.0,1.0,0.0
834528fffffffff,10.0,8.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,3.0,0.0,0.0
834535fffffffff,10.0,3.0,0.0
834572fffffffff,1.0,0.0,0.0
834996fffffffff,11.0,3.0,0.0
8349a2fffffffff,1.0,0.0,1.0
8349a8fffffffff,3.0,0.0,1.0
8349a9fffffffff,2.0,0.0,2.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d30fffffffff,5.0,0.0,0.0
836d34fffffffff,4.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
