cell_id,Dendrocincla turdina,Dendrocincla turdina taunayi,Dendrocincla turdina turdina
828107fffffffff,3.0,0.0,3.0
828117fffffffff,6.0,0.0,4.0
828137fffffffff,347.0,0.0,78.0
828187fffffffff,246.0,225.0,0.0
82a597fffffffff,55.0,0.0,26.0
82a807fffffffff,298.0,0.0,88.0
82a817fffffffff,1240.0,0.0,439.0
82a81ffffffffff,15.0,0.0,11.0
82a827fffffffff,8.0,0.0,0.0
82a82ffffffffff,4.0,0.0,2.0
82a837fffffffff,478.0,0.0,132.0
82a887fffffffff,76.0,0.0,46.0
82a897fffffffff,213.0,0.0,101.0
82a8a7fffffffff,1280.0,0.0,410.0
82a8affffffffff,7.0,0.0,4.0
82a8b7fffffffff,6.0,0.0,3.0
82a8f7fffffffff,3.0,0.0,0.0
82a91ffffffffff,115.0,0.0,15.0
82a947fffffffff,180.0,0.0,0.0
82a957fffffffff,736.0,0.0,27.0
82a95ffffffffff,29.0,0.0,0.0
82a977fffffffff,8.0,0.0,0.0
