cell_id,Actinodura ramsayi,Actinodura ramsayi radcliffei/yunnanensis,Actinodura ramsayi ramsayi
836482fffffffff,1.0,0.0,0.0
836491fffffffff,12.0,0.0,0.0
836498fffffffff,4.0,0.0,0.0
