cell_id,Dumetia hyperythra,Dumetia hyperythra hyperythra,Dumetia hyperythra albogularis/phillipsi
843c801ffffffff,2.0,0.0,0.0
843c805ffffffff,3.0,0.0,0.0
843c80dffffffff,2.0,0.0,0.0
843c839ffffffff,8.0,0.0,0.0
843c8c7ffffffff,13.0,0.0,0.0
843c8cbffffffff,5.0,0.0,0.0
843c8e1ffffffff,2.0,0.0,0.0
843c8e5ffffffff,22.0,0.0,0.0
843c8edffffffff,68.0,0.0,0.0
843c905ffffffff,2.0,0.0,0.0
843c909ffffffff,1.0,0.0,0.0
843c915ffffffff,10.0,0.0,0.0
843c929ffffffff,12.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0
843c92dffffffff,13.0,0.0,0.0
843c931ffffffff,5.0,0.0,0.0
843c943ffffffff,1.0,0.0,0.0
843c967ffffffff,10.0,0.0,0.0
843ca13ffffffff,1.0,0.0,0.0
843ca21ffffffff,1.0,0.0,0.0
843ca25ffffffff,3.0,0.0,0.0
843ca3bffffffff,2.0,0.0,0.0
843ca45ffffffff,4.0,0.0,0.0
843ca47ffffffff,1.0,0.0,0.0
843ca5dffffffff,2.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0
843ca85ffffffff,2.0,0.0,0.0
843ca87ffffffff,1.0,0.0,0.0
843ca93ffffffff,2.0,0.0,0.0
843ca97ffffffff,26.0,0.0,0.0
843cab5ffffffff,1.0,0.0,0.0
843cab9ffffffff,2.0,0.0,0.0
843cb15ffffffff,2.0,0.0,0.0
843cb45ffffffff,2.0,0.0,0.0
843cb47ffffffff,2.0,0.0,0.0
843cb4bffffffff,26.0,0.0,0.0
843cb4dffffffff,14.0,0.0,0.0
843cb51ffffffff,6.0,0.0,0.0
843cb59ffffffff,15.0,0.0,0.0
843cb5dffffffff,110.0,0.0,0.0
843cb65ffffffff,14.0,0.0,0.0
843cb69ffffffff,7.0,0.0,0.0
843cb6bffffffff,3.0,0.0,0.0
843cb6dffffffff,12.0,0.0,0.0
843cf69ffffffff,5.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d107ffffffff,21.0,0.0,0.0
843d135ffffffff,16.0,0.0,0.0
843d137ffffffff,4.0,0.0,0.0
843d13dffffffff,34.0,0.0,0.0
843d839ffffffff,2.0,0.0,0.0
843d847ffffffff,2.0,0.0,0.0
843d86bffffffff,6.0,0.0,0.0
843d8adffffffff,2.0,0.0,0.0
843d8d5ffffffff,49.0,0.0,0.0
843d8ddffffffff,26.0,0.0,0.0
843d915ffffffff,42.0,0.0,0.0
843d91dffffffff,2.0,0.0,0.0
843d923ffffffff,2.0,0.0,0.0
843d929ffffffff,37.0,0.0,0.0
843d92dffffffff,11.0,0.0,0.0
843d93bffffffff,4.0,0.0,0.0
843d963ffffffff,2.0,0.0,0.0
843d967ffffffff,73.0,0.0,0.0
843d96bffffffff,4.0,0.0,0.0
843d983ffffffff,7.0,0.0,0.0
843d985ffffffff,3.0,0.0,0.0
843d987ffffffff,22.0,0.0,0.0
843d98dffffffff,7.0,0.0,0.0
843d993ffffffff,39.0,0.0,0.0
843d997ffffffff,9.0,0.0,0.0
843d9a7ffffffff,3.0,0.0,0.0
843d9abffffffff,6.0,0.0,0.0
843d9b1ffffffff,2.0,0.0,0.0
843d9b7ffffffff,165.0,0.0,0.0
843d9b9ffffffff,44.0,0.0,0.0
843d9bbffffffff,2.0,0.0,0.0
843d9d1ffffffff,15.0,0.0,0.0
843d9d3ffffffff,6.0,0.0,0.0
843d9dbffffffff,27.0,0.0,0.0
843d9e5ffffffff,134.0,0.0,0.0
843d9e7ffffffff,6.0,0.0,0.0
843d9edffffffff,2.0,0.0,0.0
843da97ffffffff,6.0,0.0,0.0
843dac9ffffffff,6.0,0.0,0.0
843dad1ffffffff,2.0,0.0,0.0
843daddffffffff,19.0,0.0,0.0
843db23ffffffff,2.0,0.0,0.0
843db25ffffffff,7.0,0.0,0.0
843db29ffffffff,6.0,0.0,0.0
843db2dffffffff,30.0,0.0,0.0
843db31ffffffff,7.0,0.0,0.0
843db35ffffffff,13.0,0.0,0.0
843db37ffffffff,5.0,0.0,0.0
843db3dffffffff,1.0,0.0,0.0
843db61ffffffff,3.0,0.0,0.0
843db65ffffffff,14.0,0.0,0.0
843db67ffffffff,45.0,0.0,0.0
8442c13ffffffff,2.0,0.0,0.0
8442c23ffffffff,10.0,0.0,0.0
8442c27ffffffff,149.0,0.0,0.0
8442c81ffffffff,1.0,0.0,0.0
8442c83ffffffff,11.0,0.0,0.0
8442c89ffffffff,1.0,0.0,0.0
8442c8bffffffff,5.0,0.0,0.0
8442ca1ffffffff,13.0,0.0,0.0
8442ca5ffffffff,11.0,0.0,0.0
8442ca7ffffffff,3.0,0.0,0.0
8442ca9ffffffff,14.0,0.0,0.0
8442cabffffffff,20.0,0.0,0.0
8442cb9ffffffff,1.0,0.0,0.0
8442cc5ffffffff,38.0,0.0,0.0
8442cc7ffffffff,281.0,0.0,0.0
8442cd1ffffffff,9.0,0.0,0.0
8442cd5ffffffff,1.0,0.0,0.0
8442cd9ffffffff,3.0,0.0,0.0
8442cdbffffffff,30.0,0.0,0.0
8442cddffffffff,12.0,0.0,0.0
8442ce3ffffffff,51.0,0.0,0.0
8442ce7ffffffff,4.0,0.0,0.0
