cell_id,Chloropsis hardwickii,Chloropsis hardwickii hardwickii/malayana,Chloropsis hardwickii lazulina/melliana
82309ffffffffff,30.0,0.0,0.0
823c07fffffffff,460.0,28.0,0.0
823c0ffffffffff,260.0,13.0,0.0
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,532.0,0.0,0.0
823c37fffffffff,28.0,0.0,0.0
823c47fffffffff,1.0,0.0,0.0
823c57fffffffff,832.0,0.0,0.0
823c5ffffffffff,1278.0,0.0,0.0
823cc7fffffffff,124.0,0.0,0.0
823ccffffffffff,13.0,0.0,0.0
823cdffffffffff,15.0,2.0,0.0
823ce7fffffffff,1061.0,88.0,0.0
823ceffffffffff,368.0,0.0,0.0
823d17fffffffff,136.0,0.0,0.0
823d1ffffffffff,16.0,0.0,0.0
823daffffffffff,392.0,0.0,0.0
82400ffffffffff,4.0,0.0,0.0
82404ffffffffff,587.0,2.0,0.0
82405ffffffffff,17.0,0.0,0.0
824067fffffffff,46.0,0.0,0.0
82406ffffffffff,50.0,0.0,0.0
824107fffffffff,3.0,0.0,1.0
82411ffffffffff,329.0,0.0,33.0
82414ffffffffff,55.0,3.0,0.0
82415ffffffffff,7.0,0.0,0.0
82416ffffffffff,1.0,0.0,0.0
824177fffffffff,182.0,0.0,7.0
824187fffffffff,39.0,0.0,1.0
824197fffffffff,81.0,0.0,5.0
82419ffffffffff,1.0,0.0,0.0
8241a7fffffffff,1.0,0.0,0.0
8241affffffffff,4.0,0.0,0.0
8241b7fffffffff,41.0,0.0,8.0
826417fffffffff,125.0,20.0,0.0
826487fffffffff,470.0,125.0,0.0
826497fffffffff,940.0,283.0,0.0
82649ffffffffff,62.0,1.0,0.0
8264a7fffffffff,96.0,31.0,0.0
8264b7fffffffff,35.0,8.0,0.0
82658ffffffffff,2.0,0.0,0.0
