cell_id,Picumnus cirratus,Picumnus cirratus macconnelli/confusus,Picumnus cirratus [cirratus Group]
835f09fffffffff,2.0,0.0,0.0
835f1efffffffff,7.0,0.0,0.0
835f29fffffffff,11.0,0.0,0.0
835f2dfffffffff,95.0,0.0,0.0
838046fffffffff,2.0,0.0,0.0
83806afffffffff,21.0,0.0,0.0
838116fffffffff,5.0,0.0,0.0
838124fffffffff,16.0,0.0,3.0
838130fffffffff,2.0,0.0,0.0
838133fffffffff,4.0,0.0,0.0
838134fffffffff,5.0,0.0,0.0
838136fffffffff,21.0,0.0,0.0
83814afffffffff,2.0,0.0,0.0
83814dfffffffff,3.0,0.0,0.0
83814efffffffff,6.0,0.0,0.0
838a9cfffffffff,4.0,0.0,0.0
838a9efffffffff,4.0,0.0,0.0
838b20fffffffff,3.0,0.0,0.0
838b22fffffffff,16.0,0.0,0.0
838b26fffffffff,13.0,0.0,0.0
838b31fffffffff,4.0,0.0,0.0
83a596fffffffff,21.0,0.0,0.0
83a800fffffffff,2.0,0.0,0.0
83a801fffffffff,18.0,0.0,0.0
83a802fffffffff,2.0,0.0,2.0
83a803fffffffff,1.0,0.0,0.0
83a806fffffffff,7.0,0.0,0.0
83a80afffffffff,2.0,0.0,0.0
83a810fffffffff,478.0,0.0,9.0
83a811fffffffff,114.0,0.0,0.0
83a812fffffffff,1267.0,0.0,105.0
83a813fffffffff,383.0,0.0,39.0
83a814fffffffff,14.0,0.0,0.0
83a815fffffffff,11.0,0.0,0.0
83a816fffffffff,54.0,0.0,6.0
83a818fffffffff,4.0,0.0,0.0
83a81afffffffff,3.0,0.0,0.0
83a81bfffffffff,7.0,0.0,2.0
83a81cfffffffff,30.0,0.0,0.0
83a81dfffffffff,13.0,0.0,0.0
83a81efffffffff,201.0,0.0,0.0
83a828fffffffff,8.0,0.0,0.0
83a829fffffffff,1.0,0.0,0.0
83a82afffffffff,8.0,0.0,0.0
83a82bfffffffff,2.0,0.0,0.0
83a833fffffffff,17.0,0.0,0.0
83a840fffffffff,13.0,0.0,0.0
83a843fffffffff,2.0,0.0,0.0
