cell_id,Sylvia abyssinica,Sylvia abyssinica monachus,Sylvia abyssinica claudei,Sylvia abyssinica stierlingi,Sylvia abyssinica abyssinica/stictigula
836adcfffffffff,1.0,0.0,0.0,0.0,1.0
837a43fffffffff,2.0,0.0,0.0,0.0,0.0
837a45fffffffff,13.0,0.0,0.0,0.0,5.0
837a61fffffffff,2.0,0.0,0.0,0.0,0.0
837a63fffffffff,6.0,0.0,0.0,0.0,0.0
837a65fffffffff,40.0,0.0,0.0,0.0,0.0
837a6efffffffff,5.0,0.0,0.0,0.0,5.0
8382d3fffffffff,1.0,0.0,0.0,0.0,0.0
839690fffffffff,2.0,0.0,0.0,0.0,1.0
8396b0fffffffff,1.0,0.0,0.0,1.0,0.0
