cell_id,Hypsipetes ganeesa,Hypsipetes ganeesa ganeesa,Hypsipetes ganeesa humii
836006fffffffff,2.0,0.0,0.0
836011fffffffff,10.0,0.0,0.0
836015fffffffff,9.0,1.0,0.0
83601efffffffff,1.0,0.0,0.0
836022fffffffff,2.0,0.0,0.0
836026fffffffff,16.0,0.0,0.0
836030fffffffff,3.0,3.0,0.0
836031fffffffff,83.0,7.0,0.0
836032fffffffff,77.0,0.0,0.0
836033fffffffff,155.0,5.0,0.0
836035fffffffff,31.0,7.0,0.0
836088fffffffff,59.0,2.0,0.0
83608afffffffff,21.0,0.0,0.0
83608dfffffffff,5.0,0.0,0.0
8360a8fffffffff,2.0,0.0,0.0
8360a9fffffffff,92.0,0.0,0.0
8360abfffffffff,1.0,0.0,0.0
8360adfffffffff,2.0,0.0,0.0
836102fffffffff,2.0,0.0,2.0
