cell_id,Cecropis melanocrissus,Cecropis melanocrissus domicella,Cecropis melanocrissus [melanocrissus Group]
835283fffffffff,2.0,0.0,0.0
835291fffffffff,1.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0
83529bfffffffff,20.0,0.0,4.0
835418fffffffff,1.0,1.0,0.0
835419fffffffff,5.0,5.0,0.0
83541afffffffff,34.0,34.0,0.0
83541bfffffffff,81.0,81.0,0.0
8354a9fffffffff,8.0,8.0,0.0
8354e2fffffffff,5.0,5.0,0.0
8354e4fffffffff,6.0,6.0,0.0
8354e5fffffffff,1.0,1.0,0.0
8354e9fffffffff,1.0,1.0,0.0
8354f0fffffffff,1.0,1.0,0.0
8354f1fffffffff,2.0,2.0,0.0
8354f3fffffffff,1.0,1.0,0.0
8354f4fffffffff,18.0,18.0,0.0
8354f5fffffffff,9.0,9.0,0.0
8354f6fffffffff,1.0,1.0,0.0
835858fffffffff,1.0,1.0,0.0
835888fffffffff,2.0,2.0,0.0
835895fffffffff,1.0,1.0,0.0
8358c8fffffffff,1.0,1.0,0.0
8358cdfffffffff,1.0,1.0,0.0
8358d1fffffffff,1.0,1.0,0.0
8358e2fffffffff,20.0,20.0,0.0
8358e6fffffffff,2.0,2.0,0.0
8358f0fffffffff,1.0,1.0,0.0
8358f4fffffffff,1.0,1.0,0.0
8358f5fffffffff,10.0,10.0,0.0
835998fffffffff,32.0,32.0,0.0
83599bfffffffff,1.0,1.0,0.0
83599efffffffff,12.0,12.0,0.0
836a5afffffffff,2.0,0.0,2.0
836ac1fffffffff,1.0,0.0,1.0
836ac3fffffffff,8.0,0.0,8.0
836ac8fffffffff,2.0,0.0,0.0
836ac9fffffffff,2.0,0.0,2.0
836acefffffffff,8.0,0.0,8.0
836ad8fffffffff,3.0,0.0,3.0
836adcfffffffff,32.0,0.0,32.0
836ae8fffffffff,2.0,0.0,2.0
837506fffffffff,1.0,1.0,0.0
837508fffffffff,1.0,0.0,1.0
83750dfffffffff,1.0,1.0,0.0
837520fffffffff,24.0,24.0,0.0
837525fffffffff,3.0,3.0,0.0
837586fffffffff,1.0,1.0,0.0
8375b0fffffffff,2.0,2.0,0.0
837a40fffffffff,6.0,0.0,4.0
837a41fffffffff,8.0,0.0,7.0
837a43fffffffff,1.0,0.0,0.0
837a45fffffffff,18.0,0.0,17.0
837a48fffffffff,10.0,0.0,10.0
837a4bfffffffff,1.0,0.0,1.0
837a60fffffffff,5.0,0.0,5.0
837a61fffffffff,14.0,0.0,14.0
837a63fffffffff,1.0,0.0,1.0
837a64fffffffff,14.0,0.0,14.0
837a68fffffffff,20.0,0.0,15.0
837a69fffffffff,1.0,0.0,0.0
837a6afffffffff,16.0,0.0,15.0
837a6dfffffffff,24.0,0.0,19.0
837a6efffffffff,24.0,0.0,20.0
837acafffffffff,6.0,0.0,2.0
837acbfffffffff,1.0,0.0,0.0
837accfffffffff,4.0,0.0,0.0
837ad9fffffffff,1.0,0.0,1.0
837aeafffffffff,2.0,0.0,2.0
837b4bfffffffff,2.0,0.0,1.0
8382d2fffffffff,1.0,1.0,0.0
8382d3fffffffff,3.0,3.0,0.0
839690fffffffff,9.0,0.0,6.0
839692fffffffff,12.0,0.0,11.0
839693fffffffff,29.0,0.0,27.0
8396b1fffffffff,1.0,0.0,1.0
