cell_id,Myrmotherula ignota,Myrmotherula ignota ignota,Myrmotherula ignota obscura
8466101ffffffff,2.0,0.0,0.0
8466107ffffffff,191.0,28.0,0.0
8466117ffffffff,10.0,0.0,0.0
8466129ffffffff,4.0,0.0,0.0
8466131ffffffff,31.0,6.0,0.0
8466139ffffffff,242.0,13.0,0.0
846613bffffffff,9.0,0.0,0.0
846613dffffffff,14.0,0.0,0.0
8466163ffffffff,118.0,6.0,0.0
8466165ffffffff,8.0,0.0,0.0
8466167ffffffff,2.0,0.0,0.0
846619bffffffff,22.0,0.0,0.0
84661a5ffffffff,13.0,2.0,0.0
84661a7ffffffff,4.0,0.0,0.0
84661adffffffff,8.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661ebffffffff,6.0,0.0,0.0
8466415ffffffff,14.0,0.0,0.0
84665a3ffffffff,3.0,0.0,0.0
84665abffffffff,131.0,0.0,3.0
84665bdffffffff,75.0,0.0,5.0
8466a51ffffffff,1364.0,154.0,0.0
8466a55ffffffff,17.0,0.0,0.0
8466a59ffffffff,1.0,0.0,0.0
8466a5dffffffff,9.0,0.0,0.0
8466c01ffffffff,6.0,0.0,0.0
8466c21ffffffff,70.0,0.0,0.0
8466c23ffffffff,64.0,0.0,0.0
8466c27ffffffff,4.0,0.0,0.0
8466c29ffffffff,31.0,0.0,0.0
8466c2bffffffff,30.0,0.0,0.0
8466c2dffffffff,5.0,0.0,0.0
8466c35ffffffff,6.0,0.0,2.0
8466c57ffffffff,6.0,0.0,0.0
8466cc5ffffffff,5.0,0.0,0.0
8466ce9ffffffff,3.0,0.0,0.0
8466cedffffffff,2.0,0.0,0.0
8466d01ffffffff,4.0,0.0,0.0
8466d07ffffffff,51.0,6.0,0.0
8466d13ffffffff,9.0,0.0,0.0
8466d1bffffffff,69.0,0.0,0.0
8466d23ffffffff,24.0,4.0,0.0
8466d2bffffffff,1.0,0.0,0.0
8466d35ffffffff,29.0,4.0,0.0
8466d55ffffffff,22.0,0.0,0.0
8466d81ffffffff,47.0,0.0,11.0
8466d8dffffffff,9.0,0.0,1.0
8466da1ffffffff,1.0,0.0,0.0
8466da3ffffffff,3.0,0.0,0.0
8466da9ffffffff,4.0,0.0,0.0
8466dadffffffff,6.0,0.0,0.0
8466db1ffffffff,4.0,0.0,0.0
8466db5ffffffff,2.0,0.0,0.0
8466dc3ffffffff,231.0,0.0,51.0
8466dc7ffffffff,16.0,0.0,0.0
8466dc9ffffffff,2.0,0.0,0.0
8466dcdffffffff,1.0,0.0,0.0
8466dd3ffffffff,1.0,0.0,0.0
8466dd5ffffffff,12.0,0.0,1.0
8466dd7ffffffff,2.0,0.0,1.0
8466dd9ffffffff,6.0,0.0,0.0
8466ddbffffffff,2.0,0.0,2.0
8466dddffffffff,2.0,0.0,1.0
8466de3ffffffff,54.0,0.0,13.0
8466de7ffffffff,5.0,0.0,2.0
8466debffffffff,12.0,0.0,1.0
8466e57ffffffff,2.0,0.0,0.0
8466e81ffffffff,1.0,0.0,0.0
8466e8dffffffff,2.0,0.0,0.0
8466e9dffffffff,2.0,0.0,0.0
8466ec5ffffffff,1.0,0.0,0.0
8466ecbffffffff,6.0,0.0,0.0
8466ee5ffffffff,47.0,0.0,0.0
8466eedffffffff,8.0,0.0,0.0
8466f03ffffffff,41.0,2.0,0.0
8466f0bffffffff,149.0,7.0,0.0
848a451ffffffff,5.0,0.0,0.0
848a459ffffffff,5.0,0.0,0.0
848a45bffffffff,17.0,0.0,0.0
848a45dffffffff,21.0,0.0,0.0
848a68bffffffff,1.0,0.0,0.0
848a699ffffffff,53.0,0.0,3.0
848a69bffffffff,1.0,0.0,0.0
848a69dffffffff,1.0,0.0,0.0
848a6d7ffffffff,6.0,0.0,0.0
848a6d9ffffffff,18.0,0.0,0.0
848a6dbffffffff,5.0,0.0,0.0
848b693ffffffff,6.0,0.0,0.0
848f43bffffffff,1.0,0.0,0.0
848f44bffffffff,10.0,0.0,0.0
848f4a5ffffffff,2.0,0.0,0.0
848f4e3ffffffff,1.0,0.0,0.0
848f5d3ffffffff,5.0,0.0,0.0
848f613ffffffff,5.0,0.0,0.0
848f61bffffffff,20.0,0.0,0.0
848f6e9ffffffff,11.0,0.0,0.0
848f73dffffffff,1.0,0.0,0.0
848f741ffffffff,1.0,0.0,0.0
848f74bffffffff,7.0,0.0,0.0
