cell_id,Copsychus saularis,Copsychus saularis [saularis Group],Copsychus saularis [amoenus Group]
833099fffffffff,2.0,2.0,0.0
83309afffffffff,4.0,0.0,0.0
8330e2fffffffff,2.0,0.0,0.0
833c02fffffffff,6.0,1.0,0.0
833c0afffffffff,3.0,0.0,0.0
833c11fffffffff,2.0,0.0,0.0
833c18fffffffff,1.0,0.0,0.0
833c19fffffffff,13.0,0.0,0.0
833c1bfffffffff,10.0,0.0,0.0
833c1dfffffffff,2.0,0.0,0.0
833c58fffffffff,3.0,0.0,0.0
833c5cfffffffff,1.0,0.0,0.0
833c88fffffffff,8.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0
833c94fffffffff,1.0,1.0,0.0
833ca9fffffffff,6.0,0.0,0.0
833cabfffffffff,4.0,0.0,0.0
833cb1fffffffff,6.0,4.0,0.0
833cc4fffffffff,1.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0
833ce5fffffffff,1.0,1.0,0.0
833cecfffffffff,2.0,0.0,0.0
833cf0fffffffff,2.0,0.0,0.0
833cf2fffffffff,13.0,0.0,0.0
833cf3fffffffff,1.0,0.0,0.0
833cf4fffffffff,2.0,0.0,0.0
833cf6fffffffff,7.0,0.0,0.0
833d13fffffffff,1.0,0.0,0.0
833d84fffffffff,21.0,1.0,0.0
833d8dfffffffff,2.0,0.0,0.0
833d93fffffffff,3.0,0.0,0.0
833d98fffffffff,2.0,0.0,0.0
833d99fffffffff,4.0,0.0,0.0
833da1fffffffff,2.0,2.0,0.0
833da2fffffffff,2.0,0.0,0.0
833da3fffffffff,48.0,0.0,0.0
833dadfffffffff,11.0,3.0,0.0
833db3fffffffff,2.0,2.0,0.0
833db6fffffffff,2.0,2.0,0.0
8340b5fffffffff,1.0,1.0,0.0
8340e3fffffffff,4.0,4.0,0.0
834103fffffffff,2.0,2.0,0.0
83411cfffffffff,25.0,25.0,0.0
834165fffffffff,4.0,0.0,0.0
834172fffffffff,1.0,1.0,0.0
834191fffffffff,1.0,1.0,0.0
8341a4fffffffff,1.0,0.0,0.0
8341a5fffffffff,4.0,0.0,0.0
8341b4fffffffff,3.0,0.0,0.0
8341b5fffffffff,4.0,2.0,0.0
834269fffffffff,2.0,0.0,0.0
8342c1fffffffff,11.0,0.0,0.0
8342c3fffffffff,1.0,1.0,0.0
8342cdfffffffff,1.0,0.0,0.0
8342ebfffffffff,1.0,1.0,0.0
834ba0fffffffff,10.0,0.0,0.0
834bb1fffffffff,6.0,0.0,0.0
834bb5fffffffff,21.0,0.0,0.0
836002fffffffff,1.0,0.0,0.0
836004fffffffff,7.0,0.0,0.0
836006fffffffff,15.0,0.0,0.0
836015fffffffff,8.0,0.0,0.0
836016fffffffff,3.0,2.0,0.0
83601efffffffff,4.0,0.0,0.0
836022fffffffff,102.0,0.0,0.0
836026fffffffff,11.0,0.0,0.0
836031fffffffff,127.0,4.0,0.0
836033fffffffff,32.0,0.0,0.0
836035fffffffff,5.0,0.0,0.0
83608bfffffffff,4.0,0.0,0.0
836093fffffffff,4.0,0.0,0.0
836096fffffffff,4.0,4.0,0.0
8360a2fffffffff,8.0,0.0,0.0
8360a8fffffffff,3.0,0.0,0.0
8360a9fffffffff,50.0,0.0,0.0
8360adfffffffff,7.0,0.0,0.0
8360b1fffffffff,2.0,0.0,0.0
8360b5fffffffff,4.0,0.0,0.0
836188fffffffff,1.0,0.0,0.0
836189fffffffff,2.0,0.0,0.0
83618bfffffffff,38.0,0.0,0.0
83618cfffffffff,2.0,2.0,0.0
83648cfffffffff,1.0,0.0,0.0
83648dfffffffff,1.0,0.0,0.0
8364a4fffffffff,3.0,0.0,0.0
8364e4fffffffff,13.0,13.0,0.0
836520fffffffff,20.0,0.0,0.0
836526fffffffff,90.0,0.0,0.0
