cell_id,Lichenostomus melanops,Lichenostomus melanops melanops/meltoni,Lichenostomus melanops cassidix
849d2c3ffffffff,1.0,0.0,0.0
84be089ffffffff,2.0,0.0,0.0
84be08dffffffff,4.0,0.0,0.0
84be0adffffffff,1.0,0.0,0.0
84be0c3ffffffff,13.0,0.0,0.0
84be0d5ffffffff,2.0,2.0,0.0
84be1d7ffffffff,1.0,1.0,0.0
84be409ffffffff,1.0,0.0,0.0
84be447ffffffff,2.0,2.0,0.0
84be459ffffffff,1.0,0.0,0.0
84be469ffffffff,3.0,0.0,0.0
84be635ffffffff,1.0,0.0,0.0
84be63dffffffff,2.0,0.0,0.0
84be6a5ffffffff,2.0,0.0,0.0
84be6adffffffff,2.0,0.0,0.0
84be72dffffffff,28.0,0.0,0.0
84be883ffffffff,4.0,0.0,0.0
84be88bffffffff,2.0,0.0,0.0
84beab3ffffffff,1.0,0.0,0.0
84bee2dffffffff,1.0,0.0,0.0
84bef2dffffffff,1.0,0.0,0.0
84bef67ffffffff,8.0,0.0,0.0
