cell_id,Pitta novaeguineae,Pitta novaeguineae novaeguineae/goodfellowi,Pitta novaeguineae mefoorana
83728efffffffff,4.0,0.0,0.0
837291fffffffff,3.0,0.0,0.0
8372a2fffffffff,4.0,0.0,0.0
8372a3fffffffff,13.0,0.0,13.0
8372b0fffffffff,1.0,0.0,0.0
8372b4fffffffff,3.0,0.0,0.0
8372b5fffffffff,2.0,0.0,0.0
8372d4fffffffff,1.0,0.0,0.0
8372d5fffffffff,2.0,0.0,0.0
8372d9fffffffff,2.0,0.0,0.0
8372dafffffffff,1.0,1.0,0.0
8372dbfffffffff,12.0,0.0,0.0
8372defffffffff,1.0,0.0,0.0
8372f2fffffffff,32.0,0.0,0.0
83739afffffffff,50.0,2.0,0.0
83739bfffffffff,145.0,10.0,0.0
83956dfffffffff,7.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0
839c8afffffffff,1.0,0.0,0.0
839c99fffffffff,7.0,0.0,0.0
839c9dfffffffff,4.0,0.0,0.0
839ca6fffffffff,28.0,0.0,0.0
839caafffffffff,4.0,0.0,0.0
839caefffffffff,10.0,0.0,0.0
839cd1fffffffff,2.0,0.0,0.0
839cd3fffffffff,171.0,4.0,0.0
