cell_id,Chroicocephalus maculipennis,Chroicocephalus maculipennis (White-winged),Chroicocephalus maculipennis (Dark-winged)
828e47fffffffff,2.0,0.0,0.0
828e67fffffffff,1.0,0.0,0.0
82a817fffffffff,3.0,0.0,0.0
82a837fffffffff,4.0,0.0,0.0
82a907fffffffff,4.0,0.0,0.0
82a91ffffffffff,3.0,0.0,0.0
82a92ffffffffff,2.0,0.0,1.0
82a947fffffffff,2.0,0.0,0.0
82a967fffffffff,9.0,0.0,0.0
82b21ffffffffff,3.0,0.0,0.0
82b227fffffffff,6.0,0.0,0.0
82b247fffffffff,3.0,0.0,0.0
82b24ffffffffff,104.0,0.0,0.0
82b26ffffffffff,10.0,0.0,0.0
82b2c7fffffffff,182.0,7.0,0.0
82b2cffffffffff,3.0,0.0,0.0
82b2dffffffffff,60.0,0.0,0.0
82b2e7fffffffff,4.0,0.0,0.0
82b2effffffffff,58.0,0.0,0.0
82b307fffffffff,20.0,0.0,0.0
82b34ffffffffff,2.0,0.0,0.0
82c207fffffffff,7.0,0.0,0.0
82c21ffffffffff,11.0,1.0,0.0
82c2cffffffffff,95.0,0.0,0.0
82c2d7fffffffff,3.0,0.0,0.0
82c2e7fffffffff,17.0,0.0,0.0
82c2effffffffff,94.0,0.0,0.0
82c2f7fffffffff,15.0,0.0,0.0
82c34ffffffffff,63.0,0.0,0.0
82ce8ffffffffff,65.0,0.0,5.0
82ceaffffffffff,17.0,0.0,0.0
82cf17fffffffff,7.0,0.0,0.0
82cf8ffffffffff,7.0,0.0,0.0
82cfa7fffffffff,5.0,0.0,0.0
82de77fffffffff,4.0,0.0,0.0
82df47fffffffff,1.0,0.0,0.0
82df6ffffffffff,57.0,0.0,0.0
