cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
832640fffffffff,13.0,0.0,0.0
832641fffffffff,27.0,9.0,0.0
832643fffffffff,28.0,4.0,0.0
832646fffffffff,13.0,0.0,0.0
832649fffffffff,9.0,0.0,0.0
83264afffffffff,1.0,0.0,0.0
83264bfffffffff,11.0,0.0,0.0
832658fffffffff,2.0,0.0,0.0
832659fffffffff,1245.0,0.0,0.0
83265afffffffff,21.0,2.0,0.0
83265bfffffffff,218.0,20.0,0.0
83266afffffffff,2.0,0.0,0.0
83266efffffffff,10.0,0.0,0.0
8326c8fffffffff,141.0,5.0,0.0
8326c9fffffffff,37.0,0.0,0.0
8326cafffffffff,25.0,0.0,0.0
8326cbfffffffff,1209.0,6.0,0.0
8326cdfffffffff,28.0,0.0,0.0
8326cefffffffff,5.0,0.0,0.0
8326d8fffffffff,4.0,0.0,0.0
8326d9fffffffff,167.0,60.0,0.0
8326dbfffffffff,27.0,0.0,0.0
8326ddfffffffff,20.0,0.0,0.0
8326e2fffffffff,60.0,1.0,0.0
8326e9fffffffff,174.0,6.0,0.0
832ad3fffffffff,37.0,0.0,0.0
834412fffffffff,25.0,0.0,0.0
834413fffffffff,2568.0,22.0,0.0
83441afffffffff,4684.0,163.0,0.0
83441bfffffffff,4.0,0.0,0.0
83441efffffffff,6810.0,126.0,0.0
834424fffffffff,44.0,0.0,0.0
834440fffffffff,1996.0,0.0,0.0
834441fffffffff,78.0,0.0,0.0
834442fffffffff,12.0,0.0,0.0
834443fffffffff,124.0,0.0,0.0
834444fffffffff,426.0,0.0,0.0
834445fffffffff,1746.0,0.0,0.0
834446fffffffff,2480.0,0.0,0.0
834448fffffffff,80.0,0.0,0.0
834449fffffffff,162.0,2.0,0.0
83444afffffffff,28.0,0.0,0.0
83444bfffffffff,4.0,0.0,0.0
83444cfffffffff,231.0,0.0,0.0
83444dfffffffff,154.0,2.0,0.0
83444efffffffff,155.0,0.0,0.0
834450fffffffff,2460.0,57.0,0.0
834451fffffffff,4.0,0.0,0.0
834452fffffffff,330.0,0.0,0.0
834454fffffffff,1.0,0.0,0.0
834455fffffffff,2131.0,13.0,0.0
834456fffffffff,75.0,0.0,0.0
834458fffffffff,11.0,0.0,0.0
834459fffffffff,88.0,9.0,0.0
83445afffffffff,66.0,3.0,0.0
83445bfffffffff,5.0,0.0,0.0
83445cfffffffff,16.0,2.0,0.0
83445dfffffffff,121.0,8.0,0.0
834463fffffffff,290.0,0.0,0.0
834468fffffffff,112.0,3.0,0.0
834469fffffffff,182.0,2.0,0.0
83446afffffffff,57.0,3.0,0.0
83446bfffffffff,9.0,0.0,0.0
83446cfffffffff,22254.0,729.0,0.0
83446dfffffffff,3827.0,36.0,0.0
83446efffffffff,2942.0,83.0,0.0
834471fffffffff,122.0,0.0,0.0
834473fffffffff,698.0,0.0,0.0
8344a1fffffffff,397.0,16.0,0.0
8344a5fffffffff,74.0,2.0,0.0
8344a8fffffffff,1977.0,64.0,0.0
8344a9fffffffff,7221.0,338.0,0.0
8344abfffffffff,166.0,8.0,0.0
8344acfffffffff,2903.0,156.0,0.0
8344adfffffffff,2234.0,62.0,0.0
8344aefffffffff,4190.0,112.0,0.0
8344b5fffffffff,76.0,0.0,0.0
8344c2fffffffff,51.0,0.0,0.0
8344c4fffffffff,3.0,0.0,0.0
8344c5fffffffff,243.0,27.0,0.0
8344d0fffffffff,553.0,4.0,0.0
8344d1fffffffff,8.0,0.0,0.0
8344d2fffffffff,263.0,7.0,0.0
8344d3fffffffff,21.0,0.0,0.0
8344d5fffffffff,1576.0,17.0,0.0
8344e0fffffffff,342.0,11.0,0.0
8344e1fffffffff,1.0,0.0,0.0
8344e2fffffffff,286.0,12.0,0.0
8344e3fffffffff,48.0,11.0,0.0
8344e5fffffffff,15.0,0.0,0.0
8344e6fffffffff,17.0,0.0,0.0
8344ecfffffffff,5.0,0.0,0.0
8344edfffffffff,3.0,0.0,0.0
8344eefffffffff,58.0,3.0,0.0
8344f0fffffffff,431.0,6.0,0.0
8344f3fffffffff,1325.0,77.0,0.0
8344f4fffffffff,6902.0,569.0,0.0
8344f5fffffffff,646.0,34.0,0.0
8344f6fffffffff,357.0,3.0,0.0
834501fffffffff,4.0,0.0,0.0
834505fffffffff,391.0,10.0,0.0
834508fffffffff,6.0,0.0,0.0
834509fffffffff,300.0,77.0,0.0
83450afffffffff,303.0,12.0,0.0
83450bfffffffff,812.0,87.0,0.0
83450cfffffffff,39.0,0.0,0.0
83450dfffffffff,161.0,69.0,0.0
83450efffffffff,3.0,0.0,0.0
834519fffffffff,17.0,0.0,0.0
83451dfffffffff,124.0,21.0,0.0
834520fffffffff,528.0,0.0,0.0
834521fffffffff,322.0,13.0,0.0
834522fffffffff,856.0,0.0,0.0
834523fffffffff,423.0,7.0,0.0
834524fffffffff,404.0,0.0,0.0
834525fffffffff,68.0,0.0,0.0
834526fffffffff,1380.0,0.0,0.0
834528fffffffff,32.0,0.0,0.0
834529fffffffff,75.0,4.0,0.0
83452afffffffff,2985.0,127.0,0.0
83452bfffffffff,12.0,0.0,0.0
83452cfffffffff,812.0,1.0,0.0
83452dfffffffff,55.0,0.0,0.0
83452efffffffff,2508.0,61.0,0.0
834530fffffffff,18.0,0.0,0.0
834531fffffffff,324.0,0.0,0.0
834532fffffffff,16.0,0.0,0.0
834534fffffffff,29.0,0.0,0.0
834535fffffffff,67.0,0.0,0.0
834569fffffffff,2.0,0.0,0.0
83456dfffffffff,5.0,0.0,0.0
834572fffffffff,54.0,5.0,0.0
834574fffffffff,23.0,0.0,0.0
834576fffffffff,86.0,20.0,0.0
834801fffffffff,147.0,0.0,0.0
834802fffffffff,96.0,0.0,0.0
834803fffffffff,27.0,0.0,0.0
834805fffffffff,3.0,0.0,0.0
834806fffffffff,110.0,0.0,0.0
834808fffffffff,9.0,0.0,0.0
