cell_id,Eupodotis senegalensis,Eupodotis senegalensis [senegalensis Group],Eupodotis senegalensis barrowii/mackenziei
83541afffffffff,14.0,0.0,0.0
8354a9fffffffff,4.0,0.0,0.0
8354e4fffffffff,2.0,0.0,0.0
835851fffffffff,2.0,0.0,0.0
835858fffffffff,3.0,0.0,0.0
83599efffffffff,1.0,0.0,0.0
836a5afffffffff,19.0,0.0,0.0
837520fffffffff,3.0,0.0,0.0
837a40fffffffff,215.0,7.0,0.0
837a41fffffffff,194.0,0.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a45fffffffff,11.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
837a4bfffffffff,7.0,0.0,0.0
837a58fffffffff,5.0,0.0,0.0
837a5afffffffff,9.0,0.0,0.0
837a60fffffffff,30.0,0.0,0.0
837a61fffffffff,186.0,0.0,0.0
837a64fffffffff,64.0,0.0,0.0
837a65fffffffff,32.0,0.0,0.0
837a66fffffffff,8.0,0.0,0.0
837a68fffffffff,576.0,2.0,0.0
837a69fffffffff,3.0,0.0,0.0
837a6dfffffffff,531.0,57.0,0.0
837a6efffffffff,168.0,0.0,0.0
837acafffffffff,1.0,0.0,0.0
837acdfffffffff,2.0,0.0,0.0
837ad9fffffffff,134.0,16.0,0.0
837ae8fffffffff,37.0,4.0,0.0
837ae9fffffffff,11.0,2.0,0.0
837aedfffffffff,11.0,3.0,0.0
837b4bfffffffff,2.0,2.0,0.0
8382a0fffffffff,9.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0
839670fffffffff,2.0,0.0,0.0
839671fffffffff,1.0,0.0,0.0
839675fffffffff,12.0,0.0,0.0
839690fffffffff,187.0,15.0,0.0
839692fffffffff,159.0,34.0,0.0
839693fffffffff,122.0,12.0,0.0
839695fffffffff,1.0,0.0,0.0
83969afffffffff,29.0,3.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396b1fffffffff,48.0,17.0,0.0
8396b6fffffffff,2.0,2.0,0.0
83bc71fffffffff,4.0,0.0,0.0
83bc73fffffffff,2.0,0.0,0.0
83bcc2fffffffff,1.0,0.0,0.0
83bcc3fffffffff,7.0,0.0,2.0
83bcc4fffffffff,2.0,0.0,2.0
83bcc6fffffffff,33.0,0.0,7.0
83bcd1fffffffff,15.0,0.0,8.0
83bcd5fffffffff,2.0,0.0,0.0
83bcdcfffffffff,6.0,0.0,4.0
83bcdefffffffff,2.0,0.0,0.0
83bce2fffffffff,4.0,0.0,3.0
83bcf0fffffffff,1.0,0.0,0.0
83bcf1fffffffff,18.0,0.0,4.0
83bcf3fffffffff,133.0,0.0,62.0
83bcf6fffffffff,1.0,0.0,0.0
