cell_id,Cranioleuca antisiensis,Cranioleuca antisiensis antisiensis/palamblae,Cranioleuca antisiensis [baroni Group]
838e61fffffffff,1.0,0.0,0.0
838e64fffffffff,54.0,0.0,49.0
838e66fffffffff,2.0,0.0,0.0
838f0dfffffffff,342.0,146.0,0.0
838f29fffffffff,10.0,0.0,0.0
838f2bfffffffff,2.0,0.0,0.0
838f42fffffffff,39.0,7.0,16.0
838f46fffffffff,11.0,1.0,2.0
838f4afffffffff,10.0,1.0,8.0
838f50fffffffff,21.0,12.0,0.0
838f51fffffffff,275.0,19.0,167.0
838f54fffffffff,234.0,104.0,0.0
838f55fffffffff,543.0,111.0,244.0
838f58fffffffff,192.0,27.0,90.0
838f59fffffffff,115.0,1.0,68.0
838f5bfffffffff,9.0,0.0,7.0
838f5cfffffffff,33.0,0.0,18.0
838f5dfffffffff,8.0,0.0,4.0
838f5efffffffff,3.0,0.0,3.0
838f72fffffffff,195.0,95.0,0.0
838f73fffffffff,5.0,2.0,3.0
838f76fffffffff,337.0,107.0,0.0
