cell_id,Vireo pallens,Vireo pallens paluster,Vireo pallens [semiflavus Group],Vireo pallens approximans,Vireo pallens [pallens Group]
8445019ffffffff,2.0,0.0,0.0,0.0,0.0
8445051ffffffff,2.0,0.0,0.0,0.0,0.0
844505bffffffff,3.0,0.0,3.0,0.0,0.0
844505dffffffff,3.0,0.0,0.0,0.0,0.0
8445083ffffffff,10.0,0.0,10.0,0.0,0.0
8445087ffffffff,30.0,0.0,30.0,0.0,0.0
844508bffffffff,1.0,0.0,1.0,0.0,0.0
8445091ffffffff,62.0,0.0,62.0,0.0,0.0
8445093ffffffff,56.0,0.0,56.0,0.0,0.0
8445095ffffffff,4.0,0.0,4.0,0.0,0.0
8445097ffffffff,45.0,0.0,45.0,0.0,0.0
8445099ffffffff,5.0,0.0,5.0,0.0,0.0
844509bffffffff,489.0,0.0,488.0,0.0,0.0
844509dffffffff,1.0,0.0,1.0,0.0,0.0
84450a3ffffffff,15.0,0.0,15.0,0.0,0.0
84450a5ffffffff,1.0,0.0,0.0,0.0,0.0
84450abffffffff,6.0,0.0,6.0,0.0,0.0
84450b1ffffffff,72.0,0.0,70.0,0.0,0.0
84450b5ffffffff,15.0,0.0,15.0,0.0,0.0
84450bdffffffff,8.0,0.0,8.0,0.0,0.0
84450d1ffffffff,5.0,0.0,5.0,0.0,0.0
84450d3ffffffff,126.0,0.0,126.0,0.0,0.0
84450d5ffffffff,54.0,0.0,54.0,0.0,0.0
84450d7ffffffff,2.0,0.0,2.0,0.0,0.0
84450dbffffffff,4.0,0.0,4.0,0.0,0.0
84450ddffffffff,5.0,0.0,5.0,0.0,0.0
8445221ffffffff,3.0,0.0,0.0,0.0,0.0
8445281ffffffff,11.0,0.0,11.0,0.0,0.0
84452adffffffff,19.0,0.0,14.0,0.0,0.0
84452e1ffffffff,5.0,0.0,0.0,0.0,0.0
84452e3ffffffff,2.0,0.0,0.0,0.0,0.0
84452ebffffffff,10.0,0.0,0.0,0.0,0.0
8445319ffffffff,3.0,0.0,0.0,0.0,0.0
8445721ffffffff,128.0,0.0,128.0,0.0,0.0
8445723ffffffff,4.0,0.0,4.0,0.0,0.0
8445725ffffffff,5.0,0.0,5.0,0.0,0.0
8445727ffffffff,195.0,0.0,195.0,0.0,0.0
8467801ffffffff,1.0,0.0,0.0,1.0,0.0
8467805ffffffff,13.0,0.0,0.0,13.0,0.0
846d053ffffffff,3.0,0.0,3.0,0.0,0.0
846d069ffffffff,3.0,0.0,0.0,0.0,0.0
846d141ffffffff,38.0,0.0,0.0,0.0,0.0
846d2a3ffffffff,2.0,0.0,0.0,0.0,0.0
846d333ffffffff,1.0,0.0,0.0,0.0,0.0
846d35bffffffff,1.0,0.0,0.0,0.0,0.0
846d695ffffffff,4.0,0.0,0.0,0.0,2.0
846d751ffffffff,1.0,0.0,0.0,0.0,0.0
