cell_id,Pogoniulus coryphaea,Pogoniulus coryphaea coryphaea,Pogoniulus coryphaea hildamariae,Pogoniulus coryphaea angolensis
8358c3fffffffff,1.0,0.0,0.0,0.0
8358d0fffffffff,1.0,0.0,0.0,0.0
8358d1fffffffff,12.0,2.0,0.0,0.0
8358d3fffffffff,15.0,15.0,0.0,0.0
8358dcfffffffff,1.0,1.0,0.0,0.0
836ac0fffffffff,1.0,0.0,0.0,0.0
836ac2fffffffff,1.0,0.0,0.0,0.0
836ac3fffffffff,1.0,0.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0,0.0
836adcfffffffff,270.0,0.0,0.0,0.0
836adefffffffff,16.0,0.0,0.0,0.0
8382d0fffffffff,2.0,0.0,0.0,0.0
8382d2fffffffff,3.0,0.0,0.0,0.0
8382d3fffffffff,29.0,18.0,0.0,0.0
838315fffffffff,2.0,0.0,0.0,1.0
838326fffffffff,7.0,0.0,0.0,1.0
838332fffffffff,3.0,0.0,0.0,3.0
838333fffffffff,14.0,0.0,0.0,4.0
8396d2fffffffff,1.0,0.0,0.0,0.0
8396d6fffffffff,1.0,0.0,0.0,0.0
