cell_id,Neophilydor fuscipenne,Neophilydor fuscipenne fuscipenne,Neophilydor fuscipenne erythronotum
836601fffffffff,1.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836608fffffffff,38.0,0.0,0.0
83660afffffffff,20.0,0.0,0.0
836611fffffffff,4.0,0.0,0.0
836612fffffffff,1.0,0.0,0.0
836613fffffffff,183.0,0.0,23.0
836616fffffffff,12.0,0.0,0.0
836618fffffffff,1.0,0.0,0.0
836619fffffffff,144.0,0.0,0.0
83661afffffffff,9.0,0.0,0.0
83661dfffffffff,23.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
8366a0fffffffff,7.0,4.0,0.0
8366a5fffffffff,2.0,1.0,0.0
838f0dfffffffff,100.0,0.0,19.0
